component,layer,position,normalized_effect
resid_pre,0,IO,1.461709
resid_pre,0,IO+1,0.000000
resid_pre,0,S1,-1.405240
resid_pre,0,S1+1,0.000000
resid_pre,0,S2,-0.848438
resid_pre,0,S2+1,0.000000
resid_pre,0,END,0.000000
resid_pre,1,IO,1.438514
resid_pre,1,IO+1,0.001021
resid_pre,1,S1,-1.387067
resid_pre,1,S1+1,-0.001091
resid_pre,1,S2,-0.660058
resid_pre,1,S2+1,0.000075
resid_pre,1,END,-0.000205
resid_pre,2,IO,1.430955
resid_pre,2,IO+1,0.001403
resid_pre,2,S1,-1.377068
resid_pre,2,S1+1,-0.001626
resid_pre,2,S2,-0.556256
resid_pre,2,S2+1,0.000302
resid_pre,2,END,0.000049
resid_pre,3,IO,1.417762
resid_pre,3,IO+1,0.005052
resid_pre,3,S1,-1.365368
resid_pre,3,S1+1,-0.005415
resid_pre,3,S2,-0.564685
resid_pre,3,S2+1,0.001015
resid_pre,3,END,0.000470
resid_pre,4,IO,1.401255
resid_pre,4,IO+1,0.008136
resid_pre,4,S1,-1.351390
resid_pre,4,S1+1,-0.008763
resid_pre,4,S2,-0.357760
resid_pre,4,S2+1,0.003875
resid_pre,4,END,0.000347
resid_pre,5,IO,1.375593
resid_pre,5,IO+1,0.014500
resid_pre,5,S1,-1.329055
resid_pre,5,S1+1,-0.010796
resid_pre,5,S2,-0.381025
resid_pre,5,S2+1,0.009488
resid_pre,5,END,0.000317
resid_pre,6,IO,1.373911
resid_pre,6,IO+1,0.014748
resid_pre,6,S1,-1.325191
resid_pre,6,S1+1,-0.012121
resid_pre,6,S2,-0.156157
resid_pre,6,S2+1,0.009672
resid_pre,6,END,-0.000931
resid_pre,7,IO,1.356298
resid_pre,7,IO+1,0.015736
resid_pre,7,S1,-1.308231
resid_pre,7,S1+1,-0.012343
resid_pre,7,S2,-0.140948
resid_pre,7,S2+1,0.011736
resid_pre,7,END,-0.002348
resid_pre,8,IO,1.354423
resid_pre,8,IO+1,0.016536
resid_pre,8,S1,-1.306208
resid_pre,8,S1+1,-0.013262
resid_pre,8,S2,-0.244587
resid_pre,8,S2+1,0.002813
resid_pre,8,END,0.062497
resid_pre,9,IO,1.349202
resid_pre,9,IO+1,0.006320
resid_pre,9,S1,-1.303462
resid_pre,9,S1+1,-0.005788
resid_pre,9,S2,-0.330834
resid_pre,9,S2+1,0.000897
resid_pre,9,END,0.125577
resid_pre,10,IO,1.133409
resid_pre,10,IO+1,0.008076
resid_pre,10,S1,-1.125156
resid_pre,10,S1+1,-0.008123
resid_pre,10,S2,-0.272063
resid_pre,10,S2+1,0.015905
resid_pre,10,END,1.396496
resid_pre,11,IO,0.575309
resid_pre,11,IO+1,0.011192
resid_pre,11,S1,-0.597312
resid_pre,11,S1+1,-0.011207
resid_pre,11,S2,-0.155891
resid_pre,11,S2+1,0.017110
resid_pre,11,END,1.346021
attn_out,0,IO,0.280341
attn_out,0,IO+1,0.001021
attn_out,0,S1,-0.277142
attn_out,0,S1+1,-0.001091
attn_out,0,S2,-0.168913
attn_out,0,S2+1,0.000075
attn_out,0,END,-0.000205
attn_out,1,IO,0.004152
attn_out,1,IO+1,0.000544
