component,layer,position,normalized_effect
resid_pre,0,IO,0.000000
resid_pre,0,IO+1,0.000000
resid_pre,0,S1,0.000000
resid_pre,0,S1+1,0.000000
resid_pre,0,S2,1.000000
resid_pre,0,S2+1,0.000000
resid_pre,0,END,0.000000
resid_pre,1,IO,0.000000
resid_pre,1,IO+1,0.000000
resid_pre,1,S1,0.000000
resid_pre,1,S1+1,0.000000
resid_pre,1,S2,1.000857
resid_pre,1,S2+1,-0.000549
resid_pre,1,END,-0.000301
resid_pre,2,IO,0.000000
resid_pre,2,IO+1,0.000000
resid_pre,2,S1,0.000000
resid_pre,2,S1+1,0.000000
resid_pre,2,S2,1.001614
resid_pre,2,S2+1,-0.000694
resid_pre,2,END,-0.000464
resid_pre,3,IO,0.000000
resid_pre,3,IO+1,0.000000
resid_pre,3,S1,0.000000
resid_pre,3,S1+1,0.000000
resid_pre,3,S2,1.000316
resid_pre,3,S2+1,-0.000300
resid_pre,3,END,-0.000902
resid_pre,4,IO,0.000000
resid_pre,4,IO+1,0.000000
resid_pre,4,S1,0.000000
resid_pre,4,S1+1,0.000000
resid_pre,4,S2,0.996355
resid_pre,4,S2+1,0.003058
resid_pre,4,END,-0.001301
resid_pre,5,IO,0.000000
resid_pre,5,IO+1,0.000000
resid_pre,5,S1,0.000000
resid_pre,5,S1+1,0.000000
resid_pre,5,S2,0.970862
resid_pre,5,S2+1,0.026930
resid_pre,5,END,-0.001843
resid_pre,6,IO,0.000000
resid_pre,6,IO+1,0.000000
resid_pre,6,S1,0.000000
resid_pre,6,S1+1,0.000000
resid_pre,6,S2,0.972000
resid_pre,6,S2+1,0.025821
resid_pre,6,END,-0.001680
resid_pre,7,IO,0.000000
resid_pre,7,IO+1,0.000000
resid_pre,7,S1,0.000000
resid_pre,7,S1+1,0.000000
resid_pre,7,S2,0.929646
resid_pre,7,S2+1,0.047554
resid_pre,7,END,0.012408
resid_pre,8,IO,0.000000
resid_pre,8,IO+1,0.000000
resid_pre,8,S1,0.000000
resid_pre,8,S1+1,0.000000
resid_pre,8,S2,0.665300
resid_pre,8,S2+1,0.025344
resid_pre,8,END,0.305345
resid_pre,9,IO,0.000000
resid_pre,9,IO+1,0.000000
resid_pre,9,S1,0.000000
resid_pre,9,S1+1,0.000000
resid_pre,9,S2,0.062397
resid_pre,9,S2+1,0.029386
resid_pre,9,END,0.903717
resid_pre,10,IO,0.000000
resid_pre,10,IO+1,0.000000
resid_pre,10,S1,0.000000
resid_pre,10,S1+1,0.000000
resid_pre,10,S2,-0.039639
resid_pre,10,S2+1,0.017027
resid_pre,10,END,1.012447
resid_pre,11,IO,0.000000
resid_pre,11,IO+1,0.000000
resid_pre,11,S1,0.000000
resid_pre,11,S1+1,0.000000
resid_pre,11,S2,-0.008877
resid_pre,11,S2+1,0.012074
resid_pre,11,END,0.987936
attn_out,0,IO,0.000000
attn_out,0,IO+1,0.000000
attn_out,0,S1,0.000000
attn_out,0,S1+1,0.000000
attn_out,0,S2,0.032993
attn_out,0,S2+1,-0.000549
attn_out,0,END,-0.000301
attn_out,1,IO,0.000000
attn_out,1,IO+1,0.000000
attn_out,1,S1,0.000000
attn_out,1,S1+1,0.000000
attn_out,1,S2,0.003814
attn_out,1,S2+1,0.000041
attn_out,1,END,-0.000069
attn_out,2,IO,0.000000
attn_out,2,IO+1,0.000000
attn_out,2,S1,0.000000
attn_out,2,S1+1,0.000000
attn_out,2,S2,-0.002194
attn_out,2,S2+1,0.000273
attn_out,2,END,-0.000365
attn_out,3,IO,0.000000
attn_out,3,IO+1,0.000000
attn_out,3,S1,0.000000
attn_out,3,S1+1,0.000000
attn_out,3,S2,0.159080
attn_out,3,S2+1,0.002249
attn_out,3,END,-0.000712
attn_out,4,IO,0.000000
attn_out,4,IO+1,0.000000
attn_out,4,S1,0.000000
attn_out,4,S1+1,0.000000
attn_out,4,S2,-0.000543
attn_out,4,S2+1,0.018644
attn_out,4,END,-0.001104
attn_out,5,IO,0.000000
attn_out,5,IO+1,0.000000
attn_out,5,S1,0.000000
attn_out,5,S1+1,0.000000
attn_out,5,S2,0.374655
attn_out,5,S2+1,0.000928
attn_out,5,END,0.000026
attn_out,6,IO,0.000000
attn_out,6,IO+1,0.000000
attn_out,6,S1,0.000000
attn_out,6,S1+1,0.000000
attn_out,6,S2,0.070882
attn_out,6,S2+1,0.022132
attn_out,6,END,0.011799
attn_out,7,IO,0.000000
attn_out,7,IO+1,0.000000
attn_out,7,S1,0.000000
attn_out,7,S1+1,0.000000
attn_out,7,S2,0.014096
attn_out,7,S2+1,0.012565
attn_out,7,END,0.291328
attn_out,8,IO,0.000000
attn_out,8,IO+1,0.000000
attn_out,8,S1,0.000000
attn_out,8,S1+1,0.000000
attn_out,8,S2,-0.003469
attn_out,8,S2+1,0.016053
attn_out,8,END,0.514427
attn_out,9,IO,0.000000
attn_out,9,IO+1,0.000000
attn_out,9,S1,0.000000
attn_out,9,S1+1,0.000000
attn_out,9,S2,-0.000602
attn_out,9,S2+1,0.004343
attn_out,9,END,0.257876
attn_out,10,IO,0.000000
attn_out,10,IO+1,0.000000
attn_out,10,S1,0.000000
attn_out,10,S1+1,0.000000
attn_out,10,S2,-0.000433
attn_out,10,S2+1,0.001297
attn_out,10,END,-0.134256
attn_out,11,IO,0.000000
attn_out,11,IO+1,0.000000
attn_out,11,S1,0.000000
attn_out,11,S1+1,0.000000
attn_out,11,S2,0.000000
attn_out,11,S2+1,0.000000
attn_out,11,END,-0.369087
mlp_out,0,IO,0.000000
mlp_out,0,IO+1,0.000000
mlp_out,0,S1,0.000000
mlp_out,0,S1+1,0.000000
mlp_out,0,S2,0.887506
mlp_out,0,S2+1,-0.000210
mlp_out,0,END,0.000067
mlp_out,1,IO,0.000000
mlp_out,1,IO+1,0.000000
mlp_out,1,S1,0.000000
mlp_out,1,S1+1,0.000000
mlp_out,1,S2,0.020262
mlp_out,1,S2+1,0.001139
mlp_out,1,END,-0.000201
mlp_out,2,IO,0.000000
mlp_out,2,IO+1,0.000000
mlp_out,2,S1,0.000000
mlp_out,2,S1+1,0.000000
mlp_out,2,S2,0.008802
mlp_out,2,S2+1,-0.000834
mlp_out,2,END,0.000611
mlp_out,3,IO,0.000000
mlp_out,3,IO+1,0.000000
mlp_out,3,S1,0.000000
mlp_out,3,S1+1,0.000000
mlp_out,3,S2,0.021336
mlp_out,3,S2+1,-0.000561
mlp_out,3,END,-0.001151
mlp_out,4,IO,0.000000
mlp_out,4,IO+1,0.000000
mlp_out,4,S1,0.000000
mlp_out,4,S1+1,0.000000
mlp_out,4,S2,0.009161
mlp_out,4,S2+1,0.003581
mlp_out,4,END,-0.000217
mlp_out,5,IO,0.000000
mlp_out,5,IO+1,0.000000
mlp_out,5,S1,0.000000
mlp_out,5,S1+1,0.000000
mlp_out,5,S2,0.102698
mlp_out,5,S2+1,-0.002594
mlp_out,5,END,-0.000371
mlp_out,6,IO,0.000000
mlp_out,6,IO+1,0.000000
mlp_out,6,S1,0.000000
mlp_out,6,S1+1,0.000000
mlp_out,6,S2,-0.013418
