layer,head,position,normalized_effect,published_class
0,0,IO,0.001450,
0,0,IO+1,0.000048,
0,0,S1,-0.001926,
0,0,S1+1,-0.000100,
0,0,S2,-0.001538,
0,0,S2+1,-0.000052,
0,0,END,-0.000247,
0,1,IO,0.067486,duplicate token
0,1,IO+1,0.000000,duplicate token
0,1,S1,-0.069073,duplicate token
0,1,S1+1,-0.000000,duplicate token
0,1,S2,-0.040112,duplicate token
0,1,S2+1,0.000006,duplicate token
0,1,END,0.000000,duplicate token
0,2,IO,0.001209,
0,2,IO+1,-0.000005,
0,2,S1,-0.000840,
0,2,S1+1,-0.000019,
0,2,S2,-0.001899,
0,2,S2+1,-0.000126,
0,2,END,0.000014,
0,3,IO,0.044191,
0,3,IO+1,-0.000010,
0,3,S1,-0.041150,
0,3,S1+1,-0.000004,
0,3,S2,-0.031515,
0,3,S2+1,-0.000001,
0,3,END,-0.000006,
0,4,IO,0.051179,
0,4,IO+1,0.000233,
0,4,S1,-0.049109,
0,4,S1+1,-0.000067,
0,4,S2,-0.039598,
0,4,S2+1,-0.000012,
0,4,END,-0.000052,
0,5,IO,0.046940,
0,5,IO+1,0.000003,
0,5,S1,-0.045274,
0,5,S1+1,-0.000006,
0,5,S2,-0.032368,
0,5,S2+1,0.000002,
0,5,END,-0.000003,
0,6,IO,0.004462,
0,6,IO+1,0.000454,
0,6,S1,-0.004150,
0,6,S1+1,-0.000454,
0,6,S2,-0.005110,
0,6,S2+1,-0.000133,
0,6,END,0.000113,
0,7,IO,0.000083,
0,7,IO+1,0.000210,
0,7,S1,-0.000111,
0,7,S1+1,-0.000429,
0,7,S2,-0.001610,
0,7,S2+1,0.000326,
0,7,END,-0.000176,
0,8,IO,0.000875,
0,8,IO+1,0.000017,
0,8,S1,-0.000654,
0,8,S1+1,0.000005,
0,8,S2,-0.001041,
0,8,S2+1,-0.000071,
0,8,END,0.000001,
0,9,IO,0.000109,
0,9,IO+1,-0.000040,
0,9,S1,-0.000022,
0,9,S1+1,0.000019,
0,9,S2,-0.000075,
0,9,S2+1,0.000131,
0,9,END,0.000034,
0,10,IO,-0.001122,duplicate token
0,10,IO+1,0.000066,duplicate token
0,10,S1,-0.001203,duplicate token
0,10,S1+1,-0.000079,duplicate token
0,10,S2,-0.002125,duplicate token
0,10,S2+1,-0.000084,duplicate token
0,10,END,0.000073,duplicate token
0,11,IO,-0.000209,
0,11,IO+1,-0.000007,
0,11,S1,-0.000017,
0,11,S1+1,-0.000019,
0,11,S2,-0.000167,
0,11,S2+1,0.000101,
0,11,END,0.000016,
1,0,IO,0.000226,
1,0,IO+1,0.000268,
1,0,S1,-0.000865,
1,0,S1+1,-0.000573,
1,0,S2,-0.001056,
1,0,S2+1,0.000242,
1,0,END,-0.000074,
1,1,IO,0.000024,
1,1,IO+1,0.000028,
1,1,S1,-0.000004,
1,1,S1+1,-0.000022,
1,1,S2,0.000025,
1,1,S2+1,0.000056,
1,1,END,0.000013,
1,2,IO,-0.000315,
1,2,IO+1,-0.000049,
1,2,S1,0.000392,
1,2,S1+1,-0.000042,
1,2,S2,0.000389,
1,2,S2+1,-0.000098,
1,2,END,0.000134,
1,3,IO,-0.000301,
1,3,IO+1,-0.000030,
1,3,S1,0.000341,
1,3,S1+1,-0.000006,
1,3,S2,-0.000764,
1,3,S2+1,0.000356,
1,3,END,-0.000000,
1,4,IO,-0.000134,
1,4,IO+1,0.000035,
1,4,S1,-0.000263,
1,4,S1+1,-0.000104,
1,4,S2,0.000015,
1,4,S2+1,-0.000197,
1,4,END,-0.000243,
1,5,IO,0.000935,
1,5,IO+1,-0.000004,
1,5,S1,-0.000623,
1,5,S1+1,-0.000012,
1,5,S2,-0.001044,
1,5,S2+1,0.000071,
1,5,END,0.000040,
1,6,IO,0.001927,
1,6,IO+1,0.000084,
1,6,S1,-0.001816,
1,6,S1+1,0.000002,
1,6,S2,-0.002266,
1,6,S2+1,0.000014,
1,6,END,-0.000203,
1,7,IO,0.000264,
1,7,IO+1,0.000198,
1,7,S1,-0.000582,
1,7,S1+1,-0.000145,
1,7,S2,-0.000273,
1,7,S2+1,-0.000039,
1,7,END,0.000294,
1,8,IO,-0.000977,
1,8,IO+1,-0.000015,
1,8,S1,0.000936,
1,8,S1+1,0.000114,
1,8,S2,0.000436,
1,8,S2+1,0.000107,
1,8,END,0.000206,
1,9,IO,0.000101,
1,9,IO+1,-0.000009,
1,9,S1,0.000267,
1,9,S1+1,0.000004,
1,9,S2,0.000254,
1,9,S2+1,0.000039,
1,9,END,0.000041,
1,10,IO,-0.000348,
1,10,IO+1,-0.000001,
1,10,S1,0.000314,
1,10,S1+1,0.000138,
1,10,S2,0.000217,
1,10,S2+1,0.000013,
1,10,END,-0.000083,
1,11,IO,0.002706,
1,11,IO+1,0.000028,
1,11,S1,-0.001973,
1,11,S1+1,0.000067,
1,11,S2,-0.000962,
1,11,S2+1,-0.000218,
1,11,END,-0.000003,
2,0,IO,-0.000040,
2,0,IO+1,-0.000087,
2,0,S1,0.000001,
2,0,S1+1,0.000152,
2,0,S2,-0.000405,
2,0,S2+1,0.000129,
2,0,END,0.000253,
2,1,IO,0.000588,
2,1,IO+1,0.000151,
2,1,S1,-0.000865,
2,1,S1+1,-0.000334,
2,1,S2,-0.000568,
2,1,S2+1,-0.000650,
2,1,END,0.000484,
2,2,IO,0.000717,previous token
2,2,IO+1,0.002112,previous token
2,2,S1,-0.000722,previous token
2,2,S1+1,-0.002319,previous token
2,2,S2,-0.001856,previous token
2,2,S2+1,0.000394,previous token
2,2,END,-0.000163,previous token
2,3,IO,0.000107,
2,3,IO+1,0.000033,
2,3,S1,-0.000321,
2,3,S1+1,-0.000119,
2,3,S2,-0.000350,
2,3,S2+1,0.000227,
2,3,END,-0.000145,
2,4,IO,0.000159,
2,4,IO+1,0.000136,
2,4,S1,-0.000154,
2,4,S1+1,-0.000056,
2,4,S2,-0.000447,
2,4,S2+1,0.000028,
2,4,END,-0.000594,
2,5,IO,-0.000159,
2,5,IO+1,-0.000092,
2,5,S1,0.000207,
2,5,S1+1,0.000131,
2,5,S2,0.000117,
2,5,S2+1,-0.000120,
2,5,END,-0.000146,
2,6,IO,-0.001039,
2,6,IO+1,-0.000179,
2,6,S1,0.000996,
2,6,S1+1,0.000155,
2,6,S2,0.000280,
2,6,S2+1,0.000006,
2,6,END,0.000270,
2,7,IO,-0.001482,
2,7,IO+1,-0.000354,
2,7,S1,0.002601,
2,7,S1+1,0.000207,
2,7,S2,0.001462,
2,7,S2+1,0.000323,
