layer,head,position,normalized_effect,published_class
0,0,IO,0.000000,
0,0,IO+1,0.000000,
0,0,S1,0.000000,
0,0,S1+1,0.000000,
0,0,S2,-0.000182,
0,0,S2+1,-0.000030,
0,0,END,0.000001,
0,1,IO,0.000000,duplicate token
0,1,IO+1,0.000000,duplicate token
0,1,S1,0.000000,duplicate token
0,1,S1+1,0.000000,duplicate token
0,1,S2,0.014531,duplicate token
0,1,S2+1,0.000001,duplicate token
0,1,END,0.000000,duplicate token
0,2,IO,0.000000,
0,2,IO+1,0.000000,
0,2,S1,0.000000,
0,2,S1+1,0.000000,
0,2,S2,-0.000474,
0,2,S2+1,-0.000046,
0,2,END,-0.000015,
0,3,IO,0.000000,
0,3,IO+1,0.000000,
0,3,S1,0.000000,
0,3,S1+1,0.000000,
0,3,S2,0.003624,
0,3,S2+1,-0.000000,
0,3,END,-0.000003,
0,4,IO,0.000000,
0,4,IO+1,0.000000,
0,4,S1,0.000000,
0,4,S1+1,0.000000,
0,4,S2,0.000506,
0,4,S2+1,-0.000092,
0,4,END,-0.000005,
0,5,IO,0.000000,
0,5,IO+1,0.000000,
0,5,S1,0.000000,
0,5,S1+1,0.000000,
0,5,S2,0.000895,
0,5,S2+1,0.000000,
0,5,END,-0.000002,
0,6,IO,0.000000,
0,6,IO+1,0.000000,
0,6,S1,0.000000,
0,6,S1+1,0.000000,
0,6,S2,-0.001389,
0,6,S2+1,-0.000314,
0,6,END,-0.000207,
0,7,IO,0.000000,
0,7,IO+1,0.000000,
0,7,S1,0.000000,
0,7,S1+1,0.000000,
0,7,S2,-0.000816,
0,7,S2+1,-0.000027,
0,7,END,0.000017,
0,8,IO,0.000000,
0,8,IO+1,0.000000,
0,8,S1,0.000000,
0,8,S1+1,0.000000,
0,8,S2,-0.000535,
0,8,S2+1,-0.000006,
0,8,END,-0.000004,
0,9,IO,0.000000,
0,9,IO+1,0.000000,
0,9,S1,0.000000,
0,9,S1+1,0.000000,
0,9,S2,-0.000959,
0,9,S2+1,-0.000080,
0,9,END,-0.000028,
0,10,IO,0.000000,duplicate token
0,10,IO+1,0.000000,duplicate token
0,10,S1,0.000000,duplicate token
0,10,S1+1,0.000000,duplicate token
0,10,S2,-0.000369,duplicate token
0,10,S2+1,-0.000004,duplicate token
0,10,END,-0.000009,duplicate token
0,11,IO,0.000000,
0,11,IO+1,0.000000,
0,11,S1,0.000000,
0,11,S1+1,0.000000,
0,11,S2,-0.000082,
0,11,S2+1,-0.000028,
0,11,END,-0.000022,
1,0,IO,0.000000,
1,0,IO+1,0.000000,
1,0,S1,0.000000,
1,0,S1+1,0.000000,
1,0,S2,-0.000556,
1,0,S2+1,-0.000127,
1,0,END,0.000027,
1,1,IO,0.000000,
1,1,IO+1,0.000000,
1,1,S1,0.000000,
1,1,S1+1,0.000000,
1,1,S2,-0.000120,
1,1,S2+1,-0.000148,
1,1,END,-0.000099,
1,2,IO,0.000000,
1,2,IO+1,0.000000,
1,2,S1,0.000000,
1,2,S1+1,0.000000,
1,2,S2,0.000158,
1,2,S2+1,0.000111,
1,2,END,-0.000016,
1,3,IO,0.000000,
1,3,IO+1,0.000000,
1,3,S1,0.000000,
1,3,S1+1,0.000000,
1,3,S2,-0.000179,
1,3,S2+1,0.000059,
1,3,END,0.000024,
1,4,IO,0.000000,
1,4,IO+1,0.000000,
1,4,S1,0.000000,
1,4,S1+1,0.000000,
1,4,S2,-0.000113,
1,4,S2+1,-0.000146,
1,4,END,0.000061,
1,5,IO,0.000000,
1,5,IO+1,0.000000,
1,5,S1,0.000000,
1,5,S1+1,0.000000,
1,5,S2,0.004000,
1,5,S2+1,-0.000059,
1,5,END,-0.000033,
1,6,IO,0.000000,
1,6,IO+1,0.000000,
1,6,S1,0.000000,
1,6,S1+1,0.000000,
1,6,S2,-0.001186,
1,6,S2+1,-0.000033,
1,6,END,-0.000031,
1,7,IO,0.000000,
1,7,IO+1,0.000000,
1,7,S1,0.000000,
1,7,S1+1,0.000000,
1,7,S2,-0.000208,
1,7,S2+1,0.000099,
1,7,END,-0.000268,
1,8,IO,0.000000,
1,8,IO+1,0.000000,
1,8,S1,0.000000,
1,8,S1+1,0.000000,
1,8,S2,0.000014,
1,8,S2+1,0.000040,
1,8,END,0.000154,
1,9,IO,0.000000,
1,9,IO+1,0.000000,
1,9,S1,0.000000,
1,9,S1+1,0.000000,
1,9,S2,0.000065,
1,9,S2+1,0.000015,
1,9,END,-0.000018,
1,10,IO,0.000000,
1,10,IO+1,0.000000,
1,10,S1,0.000000,
1,10,S1+1,0.000000,
1,10,S2,-0.000097,
1,10,S2+1,0.000016,
1,10,END,-0.000036,
1,11,IO,0.000000,
1,11,IO+1,0.000000,
1,11,S1,0.000000,
1,11,S1+1,0.000000,
1,11,S2,0.002059,
1,11,S2+1,0.000253,
1,11,END,0.000157,
2,0,IO,0.000000,
2,0,IO+1,0.000000,
2,0,S1,0.000000,
2,0,S1+1,0.000000,
2,0,S2,-0.000018,
2,0,S2+1,0.000098,
2,0,END,-0.000080,
2,1,IO,0.000000,
2,1,IO+1,0.000000,
2,1,S1,0.000000,
2,1,S1+1,0.000000,
2,1,S2,-0.000895,
2,1,S2+1,-0.000144,
2,1,END,-0.000145,
2,2,IO,0.000000,previous token
2,2,IO+1,0.000000,previous token
2,2,S1,0.000000,previous token
2,2,S1+1,0.000000,previous token
2,2,S2,0.001214,previous token
2,2,S2+1,0.000237,previous token
2,2,END,-0.000010,previous token
2,3,IO,0.000000,
2,3,IO+1,0.000000,
2,3,S1,0.000000,
2,3,S1+1,0.000000,
2,3,S2,-0.000510,
2,3,S2+1,-0.000019,
2,3,END,0.000013,
2,4,IO,0.000000,
2,4,IO+1,0.000000,
2,4,S1,0.000000,
2,4,S1+1,0.000000,
2,4,S2,0.000082,
2,4,S2+1,-0.000003,
2,4,END,-0.000216,
2,5,IO,0.000000,
2,5,IO+1,0.000000,
2,5,S1,0.000000,
2,5,S1+1,0.000000,
2,5,S2,-0.000360,
2,5,S2+1,-0.000348,
2,5,END,-0.000058,
2,6,IO,0.000000,
2,6,IO+1,0.000000,
2,6,S1,0.000000,
2,6,S1+1,0.000000,
2,6,S2,-0.000776,
2,6,S2+1,0.000096,
2,6,END,0.000240,
2,7,IO,0.000000,
2,7,IO+1,0.000000,
2,7,S1,0.000000,
2,7,S1+1,0.000000,
2,7,S2,0.000456,
2,7,S2+1,0.000034,
2,7,END,0.000231,
2,8,IO,0.000000,
2,8,IO+1,0.000000,
2,8,S1,0.000000,
2,8,S1+1,0.000000,
2,8,S2,-0.000125,
2,8,S2+1,-0.000004,
2,8,END,-0.000109,
2,9,IO,0.000000,
2,9,IO+1,0.000000,
2,9,S1,0.000000,
2,9,S1+1,0.000000,
2,9,S2,-0.000671,
2,9,S2+1,-0.000064,
2,9,END,0.000026,
2,10,IO,0.000000,
2,10,IO+1,0.000000,
2,10,S1,0.000000,
2,10,S1+1,0.000000,
2,10,S2,0.000342,
2,10,S2+1,0.000036,
2,10,END,-0.000253,
2,11,IO,0.000000,
2,11,IO+1,0.000000,
2,11,S1,0.000000,
2,11,S1+1,0.000000,
2,11,S2,-0.000711,
2,11,S2+1,0.000213,
2,11,END,0.000003,
3,0,IO,0.000000,duplicate token
3,0,IO+1,0.000000,duplicate token
3,0,S1,0.000000,duplicate token
3,0,S1+1,0.000000,duplicate token
3,0,S2,0.118959,duplicate token
3,0,S2+1,0.000065,duplicate token
3,0,END,-0.000004,duplicate token
3,1,IO,0.000000,
3,1,IO+1,0.000000,
3,1,S1,0.000000,
3,1,S1+1,0.000000,
3,1,S2,-0.000147,
3,1,S2+1,-0.000012,
3,1,END,-0.000023,
3,2,IO,0.000000,
3,2,IO+1,0.000000,
3,2,S1,0.000000,
3,2,S1+1,0.000000,
3,2,S2,-0.000234,
3,2,S2+1,0.000460,
3,2,END,-0.000446,
3,3,IO,0.000000,
3,3,IO+1,0.000000,
3,3,S1,0.000000,
3,3,S1+1,0.000000,
3,3,S2,0.000118,
3,3,S2+1,0.000010,
3,3,END,-0.000064,
3,4,IO,0.000000,
3,4,IO+1,0.000000,
3,4,S1,0.000000,
3,4,S1+1,0.000000,
3,4,S2,0.023032,
3,4,S2+1,-0.000103,
3,4,END,0.000010,
3,5,IO,0.000000,
3,5,IO+1,0.000000,
3,5,S1,0.000000,
3,5,S1+1,0.000000,
3,5,S2,-0.002648,
3,5,S2+1,-0.000220,
3,5,END,-0.000170,
3,6,IO,0.000000,
3,6,IO+1,0.000000,
3,6,S1,0.000000,
3,6,S1+1,0.000000,
3,6,S2,0.003523,
3,6,S2+1,0.002119,
3,6,END,0.000045,
3,7,IO,0.000000,
3,7,IO+1,0.000000,
3,7,S1,0.000000,
3,7,S1+1,0.000000,
3,7,S2,-0.000584,
3,7,S2+1,-0.000153,
3,7,END,-0.000165,
3,8,IO,0.000000,
3,8,IO+1,0.000000,
3,8,S1,0.000000,
3,8,S1+1,0.000000,
3,8,S2,-0.000277,
3,8,S2+1,-0.000008,
3,8,END,0.000004,
3,9,IO,0.000000,
3,9,IO+1,0.000000,
3,9,S1,0.000000,
3,9,S1+1,0.000000,
3,9,S2,-0.000049,
3,9,S2+1,-0.000011,
3,9,END,0.000121,
3,10,IO,0.000000,
3,10,IO+1,0.000000,
3,10,S1,0.000000,
3,10,S1+1,0.000000,
3,10,S2,0.000583,
3,10,S2+1,0.000116,
3,10,END,-0.000011,
3,11,IO,0.000000,
3,11,IO+1,0.000000,
3,11,S1,0.000000,
3,11,S1+1,0.000000,
3,11,S2,-0.000285,
3,11,S2+1,-0.000024,
3,11,END,0.000040,
4,0,IO,0.000000,
4,0,IO+1,0.000000,
4,0,S1,0.000000,
4,0,S1+1,0.000000,
4,0,S2,-0.000256,
4,0,S2+1,-0.000000,
4,0,END,-0.000345,
4,1,IO,0.000000,
4,1,IO+1,0.000000,
4,1,S1,0.000000,
4,1,S1+1,0.000000,
4,1,S2,0.000251,
4,1,S2+1,0.000070,
4,1,END,-0.000117,
4,2,IO,0.000000,
4,2,IO+1,0.000000,
4,2,S1,0.000000,
4,2,S1+1,0.000000,
4,2,S2,-0.000224,
4,2,S2+1,0.000005,
