layer,head,position,path_effect,published_class
0,0,END,-0.000174,
0,1,END,0.000000,duplicate token
0,2,END,-0.000005,
0,3,END,-0.000011,
0,4,END,-0.000023,
0,5,END,-0.000005,
0,6,END,-0.000307,
0,7,END,-0.000171,
0,8,END,-0.000002,
0,9,END,-0.000186,
0,10,END,0.000040,duplicate token
0,11,END,-0.000026,
1,0,END,-0.000076,
1,1,END,-0.000038,
1,2,END,0.000042,
1,3,END,-0.000038,
1,4,END,0.000014,
1,5,END,0.000053,
1,6,END,-0.000168,
1,7,END,-0.000400,
1,8,END,0.000108,
1,9,END,0.000126,
1,10,END,-0.000038,
1,11,END,0.000245,
2,0,END,0.000064,
2,1,END,0.000153,
2,2,END,-0.000232,previous token
2,3,END,0.000143,
2,4,END,-0.000213,
2,5,END,-0.000075,
2,6,END,0.000108,
2,7,END,0.000160,
2,8,END,-0.000122,
2,9,END,-0.000010,
2,10,END,-0.000185,
2,11,END,0.000005,
3,0,END,0.000000,duplicate token
3,1,END,-0.000136,
3,2,END,-0.000100,
3,3,END,-0.000201,
3,4,END,-0.000018,
3,5,END,-0.000184,
3,6,END,-0.000444,
3,7,END,0.000135,
3,8,END,0.000061,
3,9,END,0.000029,
3,10,END,0.000220,
3,11,END,0.000104,
4,0,END,-0.000049,
4,1,END,-0.000021,
4,2,END,0.000086,
4,3,END,-0.000501,
4,4,END,0.000073,
4,5,END,0.000011,
4,6,END,-0.000068,
4,7,END,0.000062,
4,8,END,-0.000072,
4,9,END,-0.000054,
4,10,END,-0.000058,
4,11,END,0.000219,previous token
5,0,END,-0.000071,
5,1,END,-0.000005,
5,2,END,-0.000453,
5,3,END,-0.000495,
5,4,END,-0.000131,
5,5,END,-0.000051,induction
5,6,END,0.000222,
5,7,END,-0.000147,
5,8,END,0.000050,induction
5,9,END,0.000275,induction
5,10,END,-0.001219,
5,11,END,0.000538,
6,0,END,-0.001681,
6,1,END,0.000632,
6,2,END,0.000141,
6,3,END,0.000388,
6,4,END,-0.000193,
6,5,END,0.000208,
6,6,END,0.000588,
6,7,END,-0.001126,
6,8,END,-0.000217,
6,9,END,-0.000229,induction
6,10,END,-0.000146,
6,11,END,0.000280,
7,0,END,0.000065,
7,1,END,-0.000382,
7,2,END,-0.000078,
7,3,END,0.031995,s-inhibition
7,4,END,-0.000231,
7,5,END,-0.004977,
7,6,END,0.000676,
7,7,END,-0.000219,
7,8,END,-0.001332,
7,9,END,0.049415,s-inhibition
7,10,END,-0.000337,
7,11,END,-0.000841,
8,0,END,0.000203,
8,1,END,-0.000052,
8,2,END,-0.007088,
8,3,END,0.003704,
8,4,END,0.000698,
8,5,END,-0.000351,
8,6,END,-0.011087,s-inhibition
8,7,END,0.001470,
8,8,END,-0.004709,
8,9,END,0.001157,
8,10,END,0.065387,s-inhibition
8,11,END,0.006625,
9,0,END,0.018134,backup name mover
9,1,END,0.000094,
9,2,END,0.011583,
9,3,END,0.003957,
9,4,END,-0.004377,
9,5,END,0.013091,
9,6,END,0.296150,name mover
9,7,END,0.039754,backup name mover
9,8,END,-0.013692,
9,9,END,0.779917,name mover
9,10,END,-0.000277,
9,11,END,-0.001221,
10,0,END,0.188833,name mover
10,1,END,0.076284,backup name mover
10,2,END,0.027191,backup name mover
10,3,END,0.005981,
10,4,END,-0.001398,
10,5,END,0.000346,
10,6,END,0.091091,backup name mover
10,7,END,-0.515528,negative name mover
10,8,END,-0.000270,
10,9,END,0.003505,
10,10,END,0.142745,backup name mover
10,11,END,0.003079,
11,0,END,0.002434,
11,1,END,-0.000686,
11,2,END,-0.114896,backup name mover
11,3,END,0.015804,
11,4,END,-0.000805,
11,5,END,-0.001291,
11,6,END,-0.009073,
11,7,END,0.002309,
11,8,END,0.008476,
11,9,END,0.002741,backup name mover
11,10,END,-0.241144,negative name mover
11,11,END,0.002372,
