layer,head,position,path_effect,published_class
0,0,END,0.000035,
0,1,END,0.000000,duplicate token
0,2,END,0.000023,
0,3,END,0.000003,
0,4,END,0.000007,
0,5,END,-0.000000,
0,6,END,0.000148,
0,7,END,0.000182,
0,8,END,0.000005,
0,9,END,0.000036,
0,10,END,0.000026,duplicate token
0,11,END,0.000017,
1,0,END,0.000078,
1,1,END,0.000082,
1,2,END,-0.000010,
1,3,END,0.000007,
1,4,END,0.000168,
1,5,END,0.000026,
1,6,END,0.000046,
1,7,END,0.000280,
1,8,END,-0.000009,
1,9,END,-0.000072,
1,10,END,0.000026,
1,11,END,-0.000169,
2,0,END,0.000048,
2,1,END,0.000079,
2,2,END,-0.000006,previous token
2,3,END,-0.000000,
2,4,END,0.000002,
2,5,END,0.000016,
2,6,END,0.000008,
2,7,END,0.000018,
2,8,END,-0.000063,
2,9,END,0.000226,
2,10,END,-0.000017,
2,11,END,-0.000056,
3,0,END,0.000000,duplicate token
3,1,END,0.000075,
3,2,END,0.000090,
3,3,END,0.000001,
3,4,END,-0.000010,
3,5,END,0.000218,
3,6,END,0.000213,
3,7,END,0.000005,
3,8,END,0.000057,
3,9,END,0.000000,
3,10,END,-0.000228,
3,11,END,0.000059,
4,0,END,-0.000085,
4,1,END,0.000079,
4,2,END,-0.000038,
4,3,END,0.000265,
4,4,END,-0.000150,
4,5,END,0.000053,
4,6,END,0.000093,
4,7,END,-0.000542,
4,8,END,0.000050,
4,9,END,0.000113,
4,10,END,-0.000029,
4,11,END,0.000192,previous token
5,0,END,-0.000012,
5,1,END,0.000003,
5,2,END,0.000931,
5,3,END,0.000164,
5,4,END,0.000084,
5,5,END,0.000047,induction
5,6,END,-0.000004,
5,7,END,0.000017,
5,8,END,0.000024,induction
5,9,END,0.000020,induction
5,10,END,0.000363,
5,11,END,-0.000283,
6,0,END,0.002854,
6,1,END,0.006096,
6,2,END,-0.000367,
6,3,END,-0.000533,
6,4,END,0.000598,
6,5,END,-0.000485,
6,6,END,-0.000001,
6,7,END,-0.000022,
6,8,END,0.000201,
6,9,END,0.000122,induction
6,10,END,-0.000163,
6,11,END,-0.000091,
7,0,END,0.000028,
7,1,END,0.000005,
7,2,END,0.000004,
7,3,END,0.023016,s-inhibition
7,4,END,-0.000048,
7,5,END,0.000735,
7,6,END,0.000666,
7,7,END,-0.000161,
7,8,END,-0.001807,
7,9,END,0.075310,s-inhibition
7,10,END,0.000129,
7,11,END,0.000095,
8,0,END,-0.001013,
8,1,END,0.000030,
8,2,END,0.003258,
8,3,END,0.006765,
8,4,END,-0.000142,
8,5,END,-0.002099,
8,6,END,0.256281,s-inhibition
8,7,END,0.000073,
8,8,END,0.004235,
8,9,END,-0.000172,
8,10,END,0.092902,s-inhibition
8,11,END,-0.000840,
