corruption,metric,layer,head,effect,published_class
s2_swap,logit_diff,0,0,-0.000182,
s2_swap,logit_diff,0,1,0.014531,duplicate token
s2_swap,logit_diff,0,2,-0.000474,
s2_swap,logit_diff,0,3,0.003624,
s2_swap,logit_diff,0,4,0.000506,
s2_swap,logit_diff,0,5,0.000895,
s2_swap,logit_diff,0,6,-0.001389,
s2_swap,logit_diff,0,7,-0.000816,
s2_swap,logit_diff,0,8,-0.000535,
s2_swap,logit_diff,0,9,-0.000959,
s2_swap,logit_diff,0,10,-0.000369,duplicate token
s2_swap,logit_diff,0,11,-0.000082,
s2_swap,logit_diff,1,0,-0.000556,
s2_swap,logit_diff,1,1,-0.000148,
s2_swap,logit_diff,1,2,0.000158,
s2_swap,logit_diff,1,3,-0.000179,
s2_swap,logit_diff,1,4,-0.000146,
s2_swap,logit_diff,1,5,0.004000,
s2_swap,logit_diff,1,6,-0.001186,
s2_swap,logit_diff,1,7,-0.000268,
s2_swap,logit_diff,1,8,0.000154,
s2_swap,logit_diff,1,9,0.000065,
s2_swap,logit_diff,1,10,-0.000097,
s2_swap,logit_diff,1,11,0.002059,
s2_swap,logit_diff,2,0,0.000098,
s2_swap,logit_diff,2,1,-0.000895,
s2_swap,logit_diff,2,2,0.001214,previous token
s2_swap,logit_diff,2,3,-0.000510,
s2_swap,logit_diff,2,4,-0.000216,
s2_swap,logit_diff,2,5,-0.000360,
s2_swap,logit_diff,2,6,-0.000776,
s2_swap,logit_diff,2,7,0.000456,
s2_swap,logit_diff,2,8,-0.000125,
s2_swap,logit_diff,2,9,-0.000671,
s2_swap,logit_diff,2,10,0.000342,
s2_swap,logit_diff,2,11,-0.000711,
s2_swap,logit_diff,3,0,0.118959,duplicate token
s2_swap,logit_diff,3,1,-0.000147,
s2_swap,logit_diff,3,2,0.000460,
s2_swap,logit_diff,3,3,0.000118,
s2_swap,logit_diff,3,4,0.023032,
s2_swap,logit_diff,3,5,-0.002648,
s2_swap,logit_diff,3,6,0.003523,
s2_swap,logit_diff,3,7,-0.000584,
s2_swap,logit_diff,3,8,-0.000277,
s2_swap,logit_diff,3,9,0.000121,
s2_swap,logit_diff,3,10,0.000583,
s2_swap,logit_diff,3,11,-0.000285,
s2_swap,logit_diff,4,0,-0.000345,
s2_swap,logit_diff,4,1,0.000251,
s2_swap,logit_diff,4,2,-0.000224,
s2_swap,logit_diff,4,3,0.019231,
