corruption,component,layer,position,effect,published_mlp
yy01,resid_pre,0,NOUN,0.000000,
yy01,resid_pre,0,XX1,0.000000,
yy01,resid_pre,0,YY,1.000000,
yy01,resid_pre,0,YY+1,0.000000,
yy01,resid_pre,0,END,0.000000,
yy01,resid_pre,1,NOUN,0.000000,
yy01,resid_pre,1,XX1,0.000000,
yy01,resid_pre,1,YY,1.000693,
yy01,resid_pre,1,YY+1,0.000402,
yy01,resid_pre,1,END,-0.000955,
yy01,resid_pre,2,NOUN,0.000000,
yy01,resid_pre,2,XX1,0.000000,
yy01,resid_pre,2,YY,0.999172,
yy01,resid_pre,2,YY+1,0.000370,
yy01,resid_pre,2,END,-0.002763,
yy01,resid_pre,3,NOUN,0.000000,
yy01,resid_pre,3,XX1,0.000000,
yy01,resid_pre,3,YY,0.999537,
yy01,resid_pre,3,YY+1,0.001738,
yy01,resid_pre,3,END,-0.003507,
yy01,resid_pre,4,NOUN,0.000000,
yy01,resid_pre,4,XX1,0.000000,
yy01,resid_pre,4,YY,0.999467,
yy01,resid_pre,4,YY+1,0.004000,
yy01,resid_pre,4,END,-0.001604,
yy01,resid_pre,5,NOUN,0.000000,
yy01,resid_pre,5,XX1,0.000000,
yy01,resid_pre,5,YY,0.999784,
yy01,resid_pre,5,YY+1,0.004098,
yy01,resid_pre,5,END,-0.000996,
yy01,resid_pre,6,NOUN,0.000000,
yy01,resid_pre,6,XX1,0.000000,
yy01,resid_pre,6,YY,0.929317,
yy01,resid_pre,6,YY+1,0.003734,
yy01,resid_pre,6,END,0.124127,
yy01,resid_pre,7,NOUN,0.000000,
yy01,resid_pre,7,XX1,0.000000,
yy01,resid_pre,7,YY,0.807019,
yy01,resid_pre,7,YY+1,-0.000343,
yy01,resid_pre,7,END,0.272341,
yy01,resid_pre,8,NOUN,0.000000,
yy01,resid_pre,8,XX1,0.000000,
yy01,resid_pre,8,YY,0.519342,
yy01,resid_pre,8,YY+1,0.000896,
yy01,resid_pre,8,END,0.534424,
yy01,resid_pre,9,NOUN,0.000000,
yy01,resid_pre,9,XX1,0.000000,
yy01,resid_pre,9,YY,0.187206,
yy01,resid_pre,9,YY+1,0.000111,
yy01,resid_pre,9,END,0.751995,
yy01,resid_pre,10,NOUN,0.000000,
yy01,resid_pre,10,XX1,0.000000,
yy01,resid_pre,10,YY,-0.024888,
yy01,resid_pre,10,YY+1,0.000175,
yy01,resid_pre,10,END,0.987518,
yy01,resid_pre,11,NOUN,0.000000,
yy01,resid_pre,11,XX1,0.000000,
yy01,resid_pre,11,YY,0.000107,
yy01,resid_pre,11,YY+1,-0.000072,
yy01,resid_pre,11,END,0.999344,
yy01,attn_out,0,NOUN,0.000000,
yy01,attn_out,0,XX1,0.000000,
yy01,attn_out,0,YY,0.093329,
yy01,attn_out,0,YY+1,0.000402,
yy01,attn_out,0,END,-0.000955,
yy01,attn_out,1,NOUN,0.000000,
yy01,attn_out,1,XX1,0.000000,
yy01,attn_out,1,YY,-0.002255,
yy01,attn_out,1,YY+1,-0.000176,
yy01,attn_out,1,END,-0.002095,
yy01,attn_out,2,NOUN,0.000000,
yy01,attn_out,2,XX1,0.000000,
yy01,attn_out,2,YY,0.004097,
yy01,attn_out,2,YY+1,0.000915,
yy01,attn_out,2,END,-0.000753,
yy01,attn_out,3,NOUN,0.000000,
yy01,attn_out,3,XX1,0.000000,
yy01,attn_out,3,YY,0.010334,
yy01,attn_out,3,YY+1,0.002948,
yy01,attn_out,3,END,0.001489,
yy01,attn_out,4,NOUN,0.000000,
yy01,attn_out,4,XX1,0.000000,
yy01,attn_out,4,YY,-0.011576,
yy01,attn_out,4,YY+1,0.001468,
yy01,attn_out,4,END,-0.002798,
yy01,attn_out,5,NOUN,0.000000,
yy01,attn_out,5,XX1,0.000000,
yy01,attn_out,5,YY,-0.003666,
yy01,attn_out,5,YY+1,0.002470,
yy01,attn_out,5,END,0.127558,
yy01,attn_out,6,NOUN,0.000000,
yy01,attn_out,6,XX1,0.000000,
yy01,attn_out,6,YY,0.003435,
yy01,attn_out,6,YY+1,0.000213,
