corruption,metric,layer,head,position,effect,published_class
yy01,logit_diff,0,0,NOUN,0.000000,
yy01,logit_diff,0,0,XX1,0.000000,
yy01,logit_diff,0,0,YY,0.001990,
yy01,logit_diff,0,0,YY+1,0.000023,
yy01,logit_diff,0,0,END,-0.000574,
yy01,logit_diff,0,1,NOUN,0.000000,
yy01,logit_diff,0,1,XX1,0.000000,
yy01,logit_diff,0,1,YY,0.030744,
yy01,logit_diff,0,1,YY+1,-0.000001,
yy01,logit_diff,0,1,END,0.000002,
yy01,logit_diff,0,2,NOUN,0.000000,
yy01,logit_diff,0,2,XX1,0.000000,
yy01,logit_diff,0,2,YY,-0.000925,
yy01,logit_diff,0,2,YY+1,-0.000021,
yy01,logit_diff,0,2,END,0.000189,
yy01,logit_diff,0,3,NOUN,0.000000,
yy01,logit_diff,0,3,XX1,0.000000,
yy01,logit_diff,0,3,YY,0.009747,
yy01,logit_diff,0,3,YY+1,0.000460,
yy01,logit_diff,0,3,END,0.000009,
yy01,logit_diff,0,4,NOUN,0.000000,
yy01,logit_diff,0,4,XX1,0.000000,
yy01,logit_diff,0,4,YY,0.010950,
yy01,logit_diff,0,4,YY+1,-0.000098,
yy01,logit_diff,0,4,END,0.000057,
yy01,logit_diff,0,5,NOUN,0.000000,
yy01,logit_diff,0,5,XX1,0.000000,
yy01,logit_diff,0,5,YY,0.016862,
yy01,logit_diff,0,5,YY+1,-0.000012,
yy01,logit_diff,0,5,END,-0.000000,
yy01,logit_diff,0,6,NOUN,0.000000,
yy01,logit_diff,0,6,XX1,0.000000,
yy01,logit_diff,0,6,YY,0.002139,
yy01,logit_diff,0,6,YY+1,-0.000154,
yy01,logit_diff,0,6,END,-0.000901,
yy01,logit_diff,0,7,NOUN,0.000000,
yy01,logit_diff,0,7,XX1,0.000000,
yy01,logit_diff,0,7,YY,0.005637,
yy01,logit_diff,0,7,YY+1,0.000429,
yy01,logit_diff,0,7,END,-0.000161,
yy01,logit_diff,0,8,NOUN,0.000000,
yy01,logit_diff,0,8,XX1,0.000000,
yy01,logit_diff,0,8,YY,0.001928,
yy01,logit_diff,0,8,YY+1,0.000002,
yy01,logit_diff,0,8,END,0.000831,
yy01,logit_diff,0,9,NOUN,0.000000,
yy01,logit_diff,0,9,XX1,0.000000,
yy01,logit_diff,0,9,YY,0.000601,
yy01,logit_diff,0,9,YY+1,-0.000170,
yy01,logit_diff,0,9,END,0.001194,
yy01,logit_diff,0,10,NOUN,0.000000,
yy01,logit_diff,0,10,XX1,0.000000,
yy01,logit_diff,0,10,YY,-0.009430,
yy01,logit_diff,0,10,YY+1,0.000138,
yy01,logit_diff,0,10,END,-0.000944,
yy01,logit_diff,0,11,NOUN,0.000000,
yy01,logit_diff,0,11,XX1,0.000000,
yy01,logit_diff,0,11,YY,0.000759,
yy01,logit_diff,0,11,YY+1,-0.000164,
yy01,logit_diff,0,11,END,-0.000461,
yy01,logit_diff,1,0,NOUN,0.000000,
yy01,logit_diff,1,0,XX1,0.000000,
yy01,logit_diff,1,0,YY,0.003353,
yy01,logit_diff,1,0,YY+1,0.000123,
yy01,logit_diff,1,0,END,0.000706,
yy01,logit_diff,1,1,NOUN,0.000000,
yy01,logit_diff,1,1,XX1,0.000000,
yy01,logit_diff,1,1,YY,-0.000529,
yy01,logit_diff,1,1,YY+1,-0.000073,
yy01,logit_diff,1,1,END,0.000022,
yy01,logit_diff,1,2,NOUN,0.000000,
yy01,logit_diff,1,2,XX1,0.000000,
yy01,logit_diff,1,2,YY,-0.000575,
yy01,logit_diff,1,2,YY+1,0.000091,
yy01,logit_diff,1,2,END,0.000056,
yy01,logit_diff,1,3,NOUN,0.000000,
yy01,logit_diff,1,3,XX1,0.000000,
yy01,logit_diff,1,3,YY,0.000380,
yy01,logit_diff,1,3,YY+1,0.000067,
yy01,logit_diff,1,3,END,-0.000028,
yy01,logit_diff,1,4,NOUN,0.000000,
yy01,logit_diff,1,4,XX1,0.000000,
yy01,logit_diff,1,4,YY,0.000824,
yy01,logit_diff,1,4,YY+1,0.000071,
yy01,logit_diff,1,4,END,0.000652,
yy01,logit_diff,1,5,NOUN,0.000000,
yy01,logit_diff,1,5,XX1,0.000000,
yy01,logit_diff,1,5,YY,-0.002236,
yy01,logit_diff,1,5,YY+1,0.000092,
yy01,logit_diff,1,5,END,-0.000974,
yy01,logit_diff,1,6,NOUN,0.000000,
yy01,logit_diff,1,6,XX1,0.000000,
yy01,logit_diff,1,6,YY,0.003627,
yy01,logit_diff,1,6,YY+1,-0.000065,
yy01,logit_diff,1,6,END,-0.001123,
yy01,logit_diff,1,7,NOUN,0.000000,
yy01,logit_diff,1,7,XX1,0.000000,
yy01,logit_diff,1,7,YY,0.002834,
yy01,logit_diff,1,7,YY+1,-0.000294,
yy01,logit_diff,1,7,END,-0.001536,
yy01,logit_diff,1,8,NOUN,0.000000,
yy01,logit_diff,1,8,XX1,0.000000,
