corruption,component,layer,position,effect
random_random,resid_pre,0,A_def,-0.001469
random_random,resid_pre,0,B_def,0.010003
random_random,resid_pre,0,comma_B,0.000000
random_random,resid_pre,0,C_def,0.595033
random_random,resid_pre,0,A_doc,0.004283
random_random,resid_pre,0,B_doc,-0.005254
random_random,resid_pre,0,END,0.000000
random_random,resid_pre,1,A_def,-0.002579
random_random,resid_pre,1,B_def,0.009267
random_random,resid_pre,1,comma_B,0.000234
random_random,resid_pre,1,C_def,0.596741
random_random,resid_pre,1,A_doc,-0.003894
random_random,resid_pre,1,B_doc,-0.038277
random_random,resid_pre,1,END,0.000991
random_random,resid_pre,2,A_def,-0.005364
random_random,resid_pre,2,B_def,0.012332
random_random,resid_pre,2,comma_B,-0.001524
random_random,resid_pre,2,C_def,0.591830
random_random,resid_pre,2,A_doc,-0.007773
random_random,resid_pre,2,B_doc,-0.029599
random_random,resid_pre,2,END,-0.012332
random_random,resid_pre,3,A_def,0.014337
random_random,resid_pre,3,B_def,0.027839
random_random,resid_pre,3,comma_B,0.000312
random_random,resid_pre,3,C_def,0.507109
random_random,resid_pre,3,A_doc,-0.004603
random_random,resid_pre,3,B_doc,-0.024666
random_random,resid_pre,3,END,0.109606
random_random,attn_out,0,A_def,0.031887
random_random,attn_out,0,B_def,0.030059
random_random,attn_out,0,comma_B,0.000234
random_random,attn_out,0,C_def,0.187369
random_random,attn_out,0,A_doc,0.000635
random_random,attn_out,0,B_doc,-0.003588
random_random,attn_out,0,END,0.000991
random_random,attn_out,1,A_def,0.001337
random_random,attn_out,1,B_def,0.014763
random_random,attn_out,1,comma_B,-0.002739
random_random,attn_out,1,C_def,0.012032
random_random,attn_out,1,A_doc,-0.011850
random_random,attn_out,1,B_doc,-0.018315
random_random,attn_out,1,END,-0.013734
random_random,attn_out,2,A_def,-0.000995
random_random,attn_out,2,B_def,0.006102
random_random,attn_out,2,comma_B,0.000150
random_random,attn_out,2,C_def,0.021768
random_random,attn_out,2,A_doc,-0.003555
random_random,attn_out,2,B_doc,0.003071
random_random,attn_out,2,END,0.131650
random_random,attn_out,3,A_def,0.000000
random_random,attn_out,3,B_def,0.000000
random_random,attn_out,3,comma_B,0.000000
random_random,attn_out,3,C_def,0.000000
random_random,attn_out,3,A_doc,0.000000
random_random,attn_out,3,B_doc,0.000000
random_random,attn_out,3,END,0.985574
random_random,mlp_out,0,A_def,0.000000
random_random,mlp_out,0,B_def,0.000000
random_random,mlp_out,0,comma_B,0.000000
random_random,mlp_out,0,C_def,0.000000
random_random,mlp_out,0,A_doc,0.000000
random_random,mlp_out,0,B_doc,0.000000
random_random,mlp_out,0,END,0.000000
random_random,mlp_out,1,A_def,0.000000
random_random,mlp_out,1,B_def,0.000000
random_random,mlp_out,1,comma_B,0.000000
random_random,mlp_out,1,C_def,0.000000
