layer,head,input,position,screen_score,published_class
0,0,q,t0,0.000000,
0,0,q,t1,0.000000,
0,0,q,t2,0.000000,
0,0,q,t3,0.000000,
0,0,q,t4,0.000000,
0,0,q,t5,0.000000,
0,0,q,t6,0.000000,
0,0,q,t7,0.000000,
0,0,q,t8,0.000000,
0,0,q,t9,0.000000,
0,0,q,t10,0.000000,
0,0,q,t11,0.004470,
0,0,q,t12,0.000000,
0,0,q,t13,0.001608,
0,0,q,t14,0.000000,
0,0,q,t15,-0.000603,
0,0,q,t16,0.000000,
0,0,q,t17,0.000000,
0,0,q,t18,0.000000,
0,0,q,t19,0.000000,
0,0,q,t20,0.000000,
0,0,q,t21,0.000000,
0,0,q,t22,0.000000,
0,0,q,t23,0.000000,
0,0,q,t24,0.000000,
0,0,q,t25,0.000000,
0,0,q,t26,0.000000,
0,0,q,t27,-0.000744,
0,0,q,t28,0.000000,
0,0,q,t29,0.000000,
0,0,q,t30,0.000000,
0,0,q,t31,0.000000,
0,0,q,t32,0.000000,
0,0,q,t33,0.000000,
0,0,q,t34,0.009824,
0,0,q,t35,0.000000,
0,0,q,t36,0.000000,
0,0,q,t37,0.000000,
0,0,q,t38,0.000000,
0,0,q,t39,0.000000,
0,0,q,t40,0.000000,
0,0,k,t0,0.000000,
0,0,k,t1,0.000000,
0,0,k,t2,0.000000,
0,0,k,t3,0.000000,
0,0,k,t4,0.000000,
0,0,k,t5,0.000000,
0,0,k,t6,0.000000,
0,0,k,t7,0.000000,
0,0,k,t8,0.000000,
0,0,k,t9,0.000000,
0,0,k,t10,0.000000,
0,0,k,t11,0.004827,
0,0,k,t12,0.000000,
0,0,k,t13,0.000933,
0,0,k,t14,0.000000,
0,0,k,t15,-0.000629,
0,0,k,t16,0.000000,
0,0,k,t17,0.000000,
0,0,k,t18,0.000000,
0,0,k,t19,0.000000,
0,0,k,t20,0.000000,
0,0,k,t21,0.000000,
0,0,k,t22,0.000000,
0,0,k,t23,0.000000,
0,0,k,t24,0.000000,
0,0,k,t25,0.000000,
0,0,k,t26,0.000000,
0,0,k,t27,0.000321,
0,0,k,t28,0.000000,
0,0,k,t29,0.000000,
0,0,k,t30,0.000000,
0,0,k,t31,0.000000,
0,0,k,t32,0.000000,
0,0,k,t33,0.000000,
0,0,k,t34,0.008001,
0,0,k,t35,0.000000,
0,0,k,t36,0.000000,
0,0,k,t37,0.000000,
0,0,k,t38,0.000000,
0,0,k,t39,0.000000,
0,0,k,t40,0.000000,
0,0,v,t0,0.000000,
0,0,v,t1,0.000000,
0,0,v,t2,0.000000,
0,0,v,t3,0.000000,
0,0,v,t4,0.000000,
0,0,v,t5,0.000000,
0,0,v,t6,0.000000,
0,0,v,t7,0.000000,
0,0,v,t8,0.000000,
0,0,v,t9,0.000000,
0,0,v,t10,0.000000,
0,0,v,t11,0.004412,
0,0,v,t12,0.000000,
0,0,v,t13,0.004764,
0,0,v,t14,0.000000,
0,0,v,t15,0.049722,
0,0,v,t16,0.000000,
0,0,v,t17,0.000000,
0,0,v,t18,0.000000,
0,0,v,t19,0.000000,
0,0,v,t20,0.000000,
0,0,v,t21,0.000000,
0,0,v,t22,0.000000,
0,0,v,t23,0.000000,
0,0,v,t24,0.000000,
0,0,v,t25,0.000000,
0,0,v,t26,0.000000,
0,0,v,t27,0.001679,
0,0,v,t28,0.000000,
0,0,v,t29,0.000000,
0,0,v,t30,0.000000,
0,0,v,t31,0.000000,
0,0,v,t32,0.000000,
0,0,v,t33,0.000000,
0,0,v,t34,0.005536,
0,0,v,t35,0.000000,
0,0,v,t36,0.000000,
0,0,v,t37,0.000000,
0,0,v,t38,0.000000,
0,0,v,t39,0.000000,
0,0,v,t40,0.000000,
0,1,q,t0,0.000000,
0,1,q,t1,0.000000,
0,1,q,t2,0.000000,
0,1,q,t3,0.000000,
0,1,q,t4,0.000000,
0,1,q,t5,0.000000,
0,1,q,t6,0.000000,
0,1,q,t7,0.000000,
0,1,q,t8,0.000000,
0,1,q,t9,0.000000,
0,1,q,t10,0.000000,
0,1,q,t11,0.014510,
0,1,q,t12,0.000000,
0,1,q,t13,0.004463,
0,1,q,t14,0.000000,
0,1,q,t15,-0.015695,
0,1,q,t16,0.000000,
0,1,q,t17,0.000000,
0,1,q,t18,0.000000,
0,1,q,t19,0.000000,
0,1,q,t20,0.000000,
0,1,q,t21,0.000000,
0,1,q,t22,0.000000,
0,1,q,t23,0.000000,
0,1,q,t24,0.000000,
0,1,q,t25,0.000000,
0,1,q,t26,0.000000,
0,1,q,t27,-0.016595,
0,1,q,t28,0.000000,
0,1,q,t29,0.000000,
0,1,q,t30,0.000000,
0,1,q,t31,0.000000,
0,1,q,t32,0.000000,
0,1,q,t33,0.000000,
0,1,q,t34,0.031182,
0,1,q,t35,0.000000,
0,1,q,t36,0.000000,
0,1,q,t37,0.000000,
0,1,q,t38,0.000000,
0,1,q,t39,0.000000,
0,1,q,t40,0.000000,
0,1,k,t0,0.000000,
0,1,k,t1,0.000000,
0,1,k,t2,0.000000,
0,1,k,t3,0.000000,
0,1,k,t4,0.000000,
0,1,k,t5,0.000000,
0,1,k,t6,0.000000,
0,1,k,t7,0.000000,
0,1,k,t8,0.000000,
0,1,k,t9,0.000000,
0,1,k,t10,0.000000,
0,1,k,t11,0.013785,
0,1,k,t12,0.000000,
0,1,k,t13,0.003402,
0,1,k,t14,0.000000,
0,1,k,t15,-0.017481,
0,1,k,t16,0.000000,
0,1,k,t17,0.000000,
0,1,k,t18,0.000000,
0,1,k,t19,0.000000,
0,1,k,t20,0.000000,
0,1,k,t21,0.000000,
0,1,k,t22,0.000000,
0,1,k,t23,0.000000,
0,1,k,t24,0.000000,
0,1,k,t25,0.000000,
0,1,k,t26,0.000000,
0,1,k,t27,-0.016098,
0,1,k,t28,0.000000,
0,1,k,t29,0.000000,
0,1,k,t30,0.000000,
0,1,k,t31,0.000000,
0,1,k,t32,0.000000,
0,1,k,t33,0.000000,
0,1,k,t34,0.031964,
0,1,k,t35,0.000000,
0,1,k,t36,0.000000,
0,1,k,t37,0.000000,
0,1,k,t38,0.000000,
0,1,k,t39,0.000000,
0,1,k,t40,0.000000,
0,1,v,t0,0.000000,
0,1,v,t1,0.000000,
0,1,v,t2,0.000000,
0,1,v,t3,0.000000,
0,1,v,t4,0.000000,
0,1,v,t5,0.000000,
0,1,v,t6,0.000000,
0,1,v,t7,0.000000,
0,1,v,t8,0.000000,
0,1,v,t9,0.000000,
0,1,v,t10,0.000000,
0,1,v,t11,0.006610,
0,1,v,t12,0.000000,
0,1,v,t13,0.009970,
0,1,v,t14,0.000000,
0,1,v,t15,0.029539,
0,1,v,t16,0.000000,
0,1,v,t17,0.000000,
0,1,v,t18,0.000000,
0,1,v,t19,0.000000,
0,1,v,t20,0.000000,
0,1,v,t21,0.000000,
0,1,v,t22,0.000000,
0,1,v,t23,0.000000,
0,1,v,t24,0.000000,
0,1,v,t25,0.000000,
0,1,v,t26,0.000000,
0,1,v,t27,-0.000314,
0,1,v,t28,0.000000,
0,1,v,t29,0.000000,
0,1,v,t30,0.000000,
0,1,v,t31,0.000000,
0,1,v,t32,0.000000,
0,1,v,t33,0.000000,
0,1,v,t34,0.003040,
0,1,v,t35,0.000000,
0,1,v,t36,0.000000,
0,1,v,t37,0.000000,
0,1,v,t38,0.000000,
0,1,v,t39,0.000000,
0,1,v,t40,0.000000,
0,2,q,t0,0.000000,
0,2,q,t1,0.000000,
0,2,q,t2,0.000000,
0,2,q,t3,0.000000,
0,2,q,t4,0.000000,
0,2,q,t5,0.000000,
0,2,q,t6,0.000000,
0,2,q,t7,0.000000,
0,2,q,t8,0.000000,
0,2,q,t9,0.000000,
0,2,q,t10,0.000000,
0,2,q,t11,0.001967,
0,2,q,t12,0.000000,
0,2,q,t13,0.006500,
0,2,q,t14,0.000000,
0,2,q,t15,0.001567,
0,2,q,t16,0.000000,
0,2,q,t17,0.000000,
0,2,q,t18,0.000000,
0,2,q,t19,0.000000,
0,2,q,t20,0.000000,
0,2,q,t21,0.000000,
0,2,q,t22,0.000000,
0,2,q,t23,0.000000,
0,2,q,t24,0.000000,
0,2,q,t25,0.000000,
0,2,q,t26,0.000000,
0,2,q,t27,-0.000443,
0,2,q,t28,0.000000,
0,2,q,t29,0.000000,
0,2,q,t30,0.000000,
0,2,q,t31,0.000000,
0,2,q,t32,0.000000,
0,2,q,t33,0.000000,
0,2,q,t34,0.000401,
0,2,q,t35,0.000000,
0,2,q,t36,0.000000,
0,2,q,t37,0.000000,
0,2,q,t38,0.000000,
0,2,q,t39,0.000000,
0,2,q,t40,0.000000,
0,2,k,t0,0.000000,
0,2,k,t1,0.000000,
0,2,k,t2,0.000000,
0,2,k,t3,0.000000,
0,2,k,t4,0.000000,
0,2,k,t5,0.000000,
0,2,k,t6,0.000000,
0,2,k,t7,0.000000,
0,2,k,t8,0.000000,
0,2,k,t9,0.000000,
0,2,k,t10,0.000000,
0,2,k,t11,0.000788,
0,2,k,t12,0.000000,
0,2,k,t13,0.005625,
0,2,k,t14,0.000000,
0,2,k,t15,0.002957,
0,2,k,t16,0.000000,
0,2,k,t17,0.000000,
0,2,k,t18,0.000000,
0,2,k,t19,0.000000,
0,2,k,t20,0.000000,
0,2,k,t21,0.000000,
0,2,k,t22,0.000000,
0,2,k,t23,0.000000,
0,2,k,t24,0.000000,
0,2,k,t25,0.000000,
0,2,k,t26,0.000000,
0,2,k,t27,0.000011,
0,2,k,t28,0.000000,
0,2,k,t29,0.000000,
0,2,k,t30,0.000000,
0,2,k,t31,0.000000,
0,2,k,t32,0.000000,
0,2,k,t33,0.000000,
0,2,k,t34,-0.001103,
0,2,k,t35,0.000000,
0,2,k,t36,0.000000,
0,2,k,t37,0.000000,
0,2,k,t38,0.000000,
0,2,k,t39,0.000000,
0,2,k,t40,0.000000,
0,2,v,t0,0.000000,
0,2,v,t1,0.000000,
0,2,v,t2,0.000000,
0,2,v,t3,0.000000,
0,2,v,t4,0.000000,
0,2,v,t5,0.000000,
0,2,v,t6,0.000000,
0,2,v,t7,0.000000,
0,2,v,t8,0.000000,
0,2,v,t9,0.000000,
0,2,v,t10,0.000000,
0,2,v,t11,-0.000144,
0,2,v,t12,0.000000,
0,2,v,t13,-0.001699,
0,2,v,t14,0.000000,
0,2,v,t15,0.003359,
0,2,v,t16,0.000000,
0,2,v,t17,0.000000,
0,2,v,t18,0.000000,
0,2,v,t19,0.000000,
0,2,v,t20,0.000000,
0,2,v,t21,0.000000,
0,2,v,t22,0.000000,
0,2,v,t23,0.000000,
0,2,v,t24,0.000000,
0,2,v,t25,0.000000,
0,2,v,t26,0.000000,
0,2,v,t27,0.000738,
0,2,v,t28,0.000000,
0,2,v,t29,0.000000,
0,2,v,t30,0.000000,
0,2,v,t31,0.000000,
0,2,v,t32,0.000000,
0,2,v,t33,0.000000,
0,2,v,t34,0.000822,
0,2,v,t35,0.000000,
0,2,v,t36,0.000000,
0,2,v,t37,0.000000,
0,2,v,t38,0.000000,
0,2,v,t39,0.000000,
0,2,v,t40,0.000000,
0,3,q,t0,0.000000,
0,3,q,t1,0.000000,
0,3,q,t2,0.000000,
0,3,q,t3,0.000000,
0,3,q,t4,0.000000,
0,3,q,t5,0.000000,
0,3,q,t6,0.000000,
0,3,q,t7,0.000000,
0,3,q,t8,0.000000,
0,3,q,t9,0.000000,
0,3,q,t10,0.000000,
0,3,q,t11,0.002096,
0,3,q,t12,0.000000,
0,3,q,t13,0.001672,
0,3,q,t14,0.000000,
0,3,q,t15,-0.000147,
0,3,q,t16,0.000000,
0,3,q,t17,0.000000,
0,3,q,t18,0.000000,
0,3,q,t19,0.000000,
0,3,q,t20,0.000000,
0,3,q,t21,0.000000,
0,3,q,t22,0.000000,
0,3,q,t23,0.000000,
0,3,q,t24,0.000000,
0,3,q,t25,0.000000,
0,3,q,t26,0.000000,
0,3,q,t27,-0.000528,
0,3,q,t28,0.000000,
0,3,q,t29,0.000000,
0,3,q,t30,0.000000,
0,3,q,t31,0.000000,
0,3,q,t32,0.000000,
0,3,q,t33,0.000000,
0,3,q,t34,-0.000330,
0,3,q,t35,0.000000,
0,3,q,t36,0.000000,
0,3,q,t37,0.000000,
0,3,q,t38,0.000000,
0,3,q,t39,0.000000,
0,3,q,t40,0.000000,
0,3,k,t0,0.000000,
0,3,k,t1,0.000000,
0,3,k,t2,0.000000,
0,3,k,t3,0.000000,
0,3,k,t4,0.000000,
0,3,k,t5,0.000000,
0,3,k,t6,0.000000,
0,3,k,t7,0.000000,
0,3,k,t8,0.000000,
0,3,k,t9,0.000000,
0,3,k,t10,0.000000,
0,3,k,t11,0.000770,
0,3,k,t12,0.000000,
0,3,k,t13,-0.000520,
0,3,k,t14,0.000000,
0,3,k,t15,-0.000187,
0,3,k,t16,0.000000,
0,3,k,t17,0.000000,
0,3,k,t18,0.000000,
0,3,k,t19,0.000000,
0,3,k,t20,0.000000,
0,3,k,t21,0.000000,
0,3,k,t22,0.000000,
0,3,k,t23,0.000000,
0,3,k,t24,0.000000,
0,3,k,t25,0.000000,
0,3,k,t26,0.000000,
0,3,k,t27,0.000136,
0,3,k,t28,0.000000,
0,3,k,t29,0.000000,
0,3,k,t30,0.000000,
0,3,k,t31,0.000000,
0,3,k,t32,0.000000,
0,3,k,t33,0.000000,
0,3,k,t34,0.000052,
0,3,k,t35,0.000000,
0,3,k,t36,0.000000,
0,3,k,t37,0.000000,
0,3,k,t38,0.000000,
0,3,k,t39,0.000000,
0,3,k,t40,0.000000,
0,3,v,t0,0.000000,
0,3,v,t1,0.000000,
0,3,v,t2,0.000000,
0,3,v,t3,0.000000,
0,3,v,t4,0.000000,
0,3,v,t5,0.000000,
0,3,v,t6,0.000000,
0,3,v,t7,0.000000,
0,3,v,t8,0.000000,
0,3,v,t9,0.000000,
0,3,v,t10,0.000000,
0,3,v,t11,0.000250,
0,3,v,t12,0.000000,
0,3,v,t13,-0.000641,
0,3,v,t14,0.000000,
0,3,v,t15,0.000843,
0,3,v,t16,0.000000,
0,3,v,t17,0.000000,
0,3,v,t18,0.000000,
0,3,v,t19,0.000000,
0,3,v,t20,0.000000,
0,3,v,t21,0.000000,
0,3,v,t22,0.000000,
0,3,v,t23,0.000000,
0,3,v,t24,0.000000,
0,3,v,t25,0.000000,
0,3,v,t26,0.000000,
0,3,v,t27,-0.000009,
0,3,v,t28,0.000000,
0,3,v,t29,0.000000,
0,3,v,t30,0.000000,
0,3,v,t31,0.000000,
0,3,v,t32,0.000000,
0,3,v,t33,0.000000,
0,3,v,t34,0.000818,
0,3,v,t35,0.000000,
0,3,v,t36,0.000000,
0,3,v,t37,0.000000,
0,3,v,t38,0.000000,
0,3,v,t39,0.000000,
0,3,v,t40,0.000000,
0,4,q,t0,0.000000,
0,4,q,t1,0.000000,
0,4,q,t2,0.000000,
0,4,q,t3,0.000000,
0,4,q,t4,0.000000,
0,4,q,t5,0.000000,
0,4,q,t6,0.000000,
0,4,q,t7,0.000000,
0,4,q,t8,0.000000,
