layer,head,input,position,screen_score,published_class
0,0,q,A_def,0.004470,
0,0,q,B_def,0.001608,
0,0,q,comma_B,0.000000,
0,0,q,C_def,-0.000603,
0,0,q,A_doc,-0.000744,
0,0,q,B_doc,0.009824,
0,0,q,END,0.000000,
0,0,k,A_def,0.004827,
0,0,k,B_def,0.000933,
0,0,k,comma_B,0.000000,
0,0,k,C_def,-0.000629,
0,0,k,A_doc,0.000321,
0,0,k,B_doc,0.008001,
0,0,k,END,0.000000,
0,0,v,A_def,0.004412,
0,0,v,B_def,0.004764,
0,0,v,comma_B,0.000000,
0,0,v,C_def,0.049722,
0,0,v,A_doc,0.001679,
0,0,v,B_doc,0.005536,
0,0,v,END,0.000000,
0,1,q,A_def,0.014510,
0,1,q,B_def,0.004463,
0,1,q,comma_B,0.000000,
0,1,q,C_def,-0.015695,
0,1,q,A_doc,-0.016595,
0,1,q,B_doc,0.031182,
0,1,q,END,0.000000,
0,1,k,A_def,0.013785,
0,1,k,B_def,0.003402,
0,1,k,comma_B,0.000000,
0,1,k,C_def,-0.017481,
0,1,k,A_doc,-0.016098,
0,1,k,B_doc,0.031964,
0,1,k,END,0.000000,
0,1,v,A_def,0.006610,
0,1,v,B_def,0.009970,
0,1,v,comma_B,0.000000,
0,1,v,C_def,0.029539,
0,1,v,A_doc,-0.000314,
0,1,v,B_doc,0.003040,
0,1,v,END,0.000000,
0,2,q,A_def,0.001967,
0,2,q,B_def,0.006500,
0,2,q,comma_B,0.000000,
0,2,q,C_def,0.001567,
0,2,q,A_doc,-0.000443,
0,2,q,B_doc,0.000401,
0,2,q,END,0.000000,
0,2,k,A_def,0.000788,
0,2,k,B_def,0.005625,
0,2,k,comma_B,0.000000,
0,2,k,C_def,0.002957,
0,2,k,A_doc,0.000011,
0,2,k,B_doc,-0.001103,
0,2,k,END,0.000000,
0,2,v,A_def,-0.000144,
0,2,v,B_def,-0.001699,
0,2,v,comma_B,0.000000,
0,2,v,C_def,0.003359,
0,2,v,A_doc,0.000738,
0,2,v,B_doc,0.000822,
0,2,v,END,0.000000,
0,3,q,A_def,0.002096,
0,3,q,B_def,0.001672,
0,3,q,comma_B,0.000000,
0,3,q,C_def,-0.000147,
0,3,q,A_doc,-0.000528,
0,3,q,B_doc,-0.000330,
0,3,q,END,0.000000,
0,3,k,A_def,0.000770,
0,3,k,B_def,-0.000520,
0,3,k,comma_B,0.000000,
0,3,k,C_def,-0.000187,
0,3,k,A_doc,0.000136,
0,3,k,B_doc,0.000052,
0,3,k,END,0.000000,
0,3,v,A_def,0.000250,
0,3,v,B_def,-0.000641,
0,3,v,comma_B,0.000000,
0,3,v,C_def,0.000843,
0,3,v,A_doc,-0.000009,
0,3,v,B_doc,0.000818,
0,3,v,END,0.000000,
0,4,q,A_def,-0.000347,
0,4,q,B_def,-0.000334,
0,4,q,comma_B,0.000000,
0,4,q,C_def,0.000887,
0,4,q,A_doc,-0.000035,
0,4,q,B_doc,-0.000373,
0,4,q,END,0.000000,
0,4,k,A_def,0.000315,
0,4,k,B_def,0.000911,
0,4,k,comma_B,0.000000,
0,4,k,C_def,-0.000006,
0,4,k,A_doc,0.000295,
0,4,k,B_doc,-0.000187,
0,4,k,END,0.000000,
0,4,v,A_def,0.000736,
0,4,v,B_def,-0.000849,
0,4,v,comma_B,0.000000,
0,4,v,C_def,0.002258,
0,4,v,A_doc,-0.000178,
0,4,v,B_doc,-0.000717,
0,4,v,END,0.000000,
0,5,q,A_def,0.020159,duplicate token
0,5,q,B_def,0.025207,duplicate token
0,5,q,comma_B,0.000000,duplicate token
0,5,q,C_def,-0.001162,duplicate token
0,5,q,A_doc,-0.005702,duplicate token
0,5,q,B_doc,-0.007703,duplicate token
0,5,q,END,0.000000,duplicate token
0,5,k,A_def,0.023173,duplicate token
0,5,k,B_def,0.026850,duplicate token
0,5,k,comma_B,0.000000,duplicate token
0,5,k,C_def,-0.007361,duplicate token
0,5,k,A_doc,-0.007212,duplicate token
0,5,k,B_doc,-0.011058,duplicate token
0,5,k,END,0.000000,duplicate token
0,5,v,A_def,0.014121,duplicate token
0,5,v,B_def,0.024831,duplicate token
