channel,head,status,found_in,missing_in,published_class,effect_random_random,effect_random_def,effect_random_answer,effect_random_vocab_cdef,effect_random_vocab_any
activation patching / logit_diff,0.0,scheme-dependent,random_random random_answer random_vocab_cdef random_vocab_any,random_def,,0.047643,0.008290,0.091003,0.087168,0.031470
activation patching / logit_diff,0.1,robust,random_random random_def random_answer random_vocab_cdef random_vocab_any,,,0.028231,0.040373,0.064599,0.029371,0.031001
activation patching / logit_diff,0.2,scheme-dependent,random_def random_vocab_any,random_random random_answer random_vocab_cdef,,0.003029,0.023089,0.005868,0.006235,-0.094837
activation patching / logit_diff,0.4,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,0.001055,-0.013780,0.001681,0.001843,0.069456
activation patching / logit_diff,0.5,robust,random_random random_def random_answer random_vocab_cdef random_vocab_any,,duplicate token,0.088846,0.175171,0.185135,0.119510,0.088710
activation patching / logit_diff,0.6,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,0.002265,-0.017978,0.008094,0.008872,0.051405
activation patching / logit_diff,1.0,scheme-dependent,random_def random_answer random_vocab_any,random_random random_vocab_cdef,,0.009206,0.229364,0.029452,0.015564,-0.120018
activation patching / logit_diff,1.1,scheme-dependent,random_def random_vocab_any,random_random random_answer random_vocab_cdef,,0.003610,0.033651,0.002578,0.005247,0.104588
activation patching / logit_diff,1.2,scheme-dependent,random_vocab_cdef random_vocab_any,random_random random_def random_answer,duplicate token,-0.015973,0.007048,-0.005626,-0.025184,0.159170
activation patching / logit_diff,1.4,scheme-dependent,random_def random_vocab_any,random_random random_answer random_vocab_cdef,induction + fuzzy previous token,-0.015609,0.602294,0.000132,0.001263,0.273341
activation patching / logit_diff,1.5,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,0.006714,0.007701,0.004529,-0.001209,0.021426
activation patching / logit_diff,1.7,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,0.002849,0.012430,-0.000889,0.004729,-0.059988
activation patching / logit_diff,2.0,scheme-dependent,random_def random_vocab_any,random_random random_answer random_vocab_cdef,fuzzy previous token,0.005696,1.090619,0.004106,0.004052,0.346385
activation patching / logit_diff,2.1,scheme-dependent,random_def random_vocab_any,random_random random_answer random_vocab_cdef,,0.003045,0.062238,0.003729,-0.002093,0.043061
activation patching / logit_diff,2.2,robust,random_random random_def random_answer random_vocab_cdef random_vocab_any,,,0.043588,0.081226,0.025330,-0.062709,-0.209485
activation patching / logit_diff,2.3,robust,random_random random_def random_answer random_vocab_cdef random_vocab_any,,,0.114257,0.146318,0.086580,0.072425,-0.050493
activation patching / logit_diff,2.4,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,-0.007969,-0.011696,0.000375,0.000759,0.089245
activation patching / logit_diff,2.5,scheme-dependent,random_def random_answer random_vocab_cdef random_vocab_any,random_random,,0.015509,0.049189,0.026335,0.027907,-0.026235
activation patching / logit_diff,2.6,scheme-dependent,random_def random_vocab_any,random_random random_answer random_vocab_cdef,,-0.004250,0.044648,0.002701,0.000403,0.082642
activation patching / logit_diff,2.7,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,-0.003288,0.011106,-0.001625,0.000712,0.051335
activation patching / logit_diff,3.0,robust,random_random random_def random_answer random_vocab_cdef random_vocab_any,,argument mover,0.588424,0.878940,0.524641,0.454269,0.780585
activation patching / logit_diff,3.2,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,0.008121,0.002234,0.004143,0.003121,-0.029375
activation patching / logit_diff,3.3,scheme-dependent,random_random random_def random_answer random_vocab_any,random_vocab_cdef,,0.023843,0.032410,0.025193,0.016574,-0.039826
activation patching / logit_diff,3.4,scheme-dependent,random_def random_vocab_any,random_random random_answer random_vocab_cdef,,0.009406,0.024433,0.010996,0.006940,0.073445
activation patching / logit_diff,3.5,scheme-dependent,random_random random_def random_answer random_vocab_cdef,random_vocab_any,,0.032418,0.039040,0.036880,0.029856,-0.004099
activation patching / logit_diff,3.6,robust,random_random random_def random_answer random_vocab_cdef random_vocab_any,,argument mover,0.550798,0.604564,0.498675,0.420990,0.349566
path chain,0.1,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,0.001547,0.000291,-0.010653,0.003000,-0.027226
path chain,0.4,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,0.001400,0.004029,0.001352,0.001093,-0.020172
path chain,0.5,scheme-dependent,random_random random_answer random_vocab_cdef,random_def random_vocab_any,duplicate token,-0.029243,-0.000021,-0.049745,0.031126,0.015383
path chain,0.7,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,-0.000266,0.001507,-0.001795,0.007738,-0.027379
path chain,1.1,scheme-dependent,random_def,random_random random_answer random_vocab_cdef random_vocab_any,,0.000191,0.029640,0.000072,0.005789,0.011556
path chain,1.2,scheme-dependent,random_vocab_cdef random_vocab_any,random_random random_def random_answer,duplicate token,-0.004539,0.001191,-0.001682,-0.025880,0.059843
path chain,2.1,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,-0.000384,-0.000004,0.000290,0.000209,0.029611
path chain,2.2,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,-0.000012,-0.005733,-0.002708,-0.001995,0.045963
path chain,2.3,scheme-dependent,random_random random_def random_answer random_vocab_cdef,random_vocab_any,,0.114996,0.105739,0.088680,0.067504,0.003550
path chain,2.4,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,-0.001197,-0.000133,0.000257,0.000273,-0.021271
path chain,2.6,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,0.001063,-0.000082,0.000381,0.000190,-0.042790
path chain,2.7,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,0.000930,-0.000842,0.000527,0.000458,-0.020428
path chain,3.0,robust,random_random random_def random_answer random_vocab_cdef random_vocab_any,,argument mover,0.588424,0.878940,0.524641,0.454269,0.780585
path chain,3.2,scheme-dependent,random_vocab_any,random_random random_def random_answer random_vocab_cdef,,0.008121,0.002234,0.004143,0.003121,-0.029375
path chain,3.3,scheme-dependent,random_random random_def random_answer random_vocab_any,random_vocab_cdef,,0.023843,0.032410,0.025193,0.016574,-0.039826
path chain,3.4,scheme-dependent,random_def random_vocab_any,random_random random_answer random_vocab_cdef,,0.009406,0.024433,0.010996,0.006940,0.073445
path chain,3.5,scheme-dependent,random_random random_def random_answer random_vocab_cdef,random_vocab_any,,0.032418,0.039040,0.036880,0.029856,-0.004099
