head,status,published_class,top_spec_random_random,top_spec_random_def,top_spec_random_answer,top_spec_random_vocab_cdef,top_spec_random_vocab_any
0.0,scheme-dependent,,v@C_def,k@B_def,v@C_def,v@C_def,v@C_def
0.1,scheme-dependent,,k@B_doc,k@B_def,k@C_def,k@C_def,k@A_def
0.2,scheme-dependent,,q@B_def,v@B_def,k@C_def,q@C_def,v@A_def
0.3,scheme-dependent,,q@A_def,v@A_def,k@C_def,q@C_def,k@C_def
0.4,scheme-dependent,,v@C_def,v@B_def,v@C_def,v@C_def,v@A_def
0.5,scheme-dependent,duplicate token,v@C_def,v@B_def,v@C_def,v@C_def,v@C_def
0.6,scheme-dependent,,k@B_def,q@B_def,k@C_def,v@C_def,k@B_doc
0.7,scheme-dependent,,v@C_def,q@A_def,v@C_def,v@C_def,q@END
1.0,scheme-dependent,,v@C_def,v@B_def,v@C_def,v@C_def,k@comma_B
1.1,scheme-dependent,,q@B_def,v@B_def,q@C_def,k@C_def,v@C_def
1.2,scheme-dependent,duplicate token,k@A_def,q@A_def,k@C_def,v@C_def,q@END
1.3,scheme-dependent,,v@C_def,v@B_def,v@C_def,v@C_def,v@A_def
1.4,scheme-dependent,induction + fuzzy previous token,v@B_doc,v@B_def,v@C_def,k@C_def,k@B_doc
1.5,scheme-dependent,,k@B_def,k@B_def,k@C_def,q@C_def,q@C_def
1.6,scheme-dependent,,v@C_def,v@comma_B,v@C_def,v@C_def,k@C_def
1.7,scheme-dependent,,v@C_def,v@B_def,v@C_def,q@C_def,k@END
2.0,scheme-dependent,fuzzy previous token,q@B_def,v@comma_B,q@C_def,k@C_def,v@comma_B
2.1,scheme-dependent,,v@B_def,v@comma_B,v@C_def,q@C_def,q@END
2.2,scheme-dependent,,q@END,v@A_def,q@C_def,v@C_def,k@comma_B
2.3,scheme-dependent,,v@C_def,v@A_def,v@C_def,v@C_def,v@C_def
2.4,scheme-dependent,,v@END,v@END,q@C_def,q@C_def,v@END
2.5,scheme-dependent,,v@C_def,v@B_def,v@C_def,v@C_def,q@END
2.6,scheme-dependent,,v@END,v@comma_B,v@C_def,v@C_def,v@comma_B
2.7,scheme-dependent,,q@END,v@comma_B,q@C_def,v@C_def,k@END
3.0,scheme-dependent,argument mover,v@C_def,k@C_def,v@C_def,v@C_def,k@C_def
3.1,scheme-dependent,,q@END,k@END,v@C_def,k@C_def,q@END
3.2,scheme-dependent,,k@END,q@END,v@END,v@END,q@END
3.3,scheme-dependent,,v@C_def,v@B_def,v@C_def,v@C_def,v@B_doc
3.4,scheme-dependent,,v@C_def,v@A_def,v@C_def,k@C_def,q@END
3.5,scheme-dependent,,v@C_def,v@B_def,v@C_def,v@C_def,k@C_def
3.6,scheme-dependent,argument mover,v@C_def,k@C_def,v@C_def,v@C_def,k@C_def
3.7,scheme-dependent,,k@B_doc,v@B_doc,v@C_def,v@B_doc,q@END
