channel,head,status,found_in,missing_in,published_class,effect_yy01,effect_xx_mismatch,effect_random_vocab_yy,effect_random_vocab_any
activation patching / logit_diff,0.1,scheme-dependent,yy01 xx_mismatch,random_vocab_yy random_vocab_any,,0.030744,0.108739,-0.003736,-0.013789
activation patching / logit_diff,0.10,scheme-dependent,xx_mismatch,yy01 random_vocab_yy random_vocab_any,,-0.009430,0.038414,0.000558,-0.006512
activation patching / logit_diff,1.5,scheme-dependent,xx_mismatch,yy01 random_vocab_yy random_vocab_any,,-0.002236,0.021994,-0.001611,-0.002081
activation patching / logit_diff,3.0,scheme-dependent,xx_mismatch,yy01 random_vocab_yy random_vocab_any,,0.000962,0.039699,-0.000142,-0.001470
activation patching / logit_diff,3.3,scheme-dependent,xx_mismatch,yy01 random_vocab_yy random_vocab_any,,0.001849,0.024145,-0.001518,0.002667
activation patching / logit_diff,4.4,scheme-dependent,xx_mismatch,yy01 random_vocab_yy random_vocab_any,,-0.003517,0.027832,-0.000742,-0.002184
activation patching / logit_diff,4.7,scheme-dependent,random_vocab_any,yy01 xx_mismatch random_vocab_yy,,-0.005120,-0.009823,-0.003223,-0.030661
activation patching / logit_diff,4.10,scheme-dependent,xx_mismatch,yy01 random_vocab_yy random_vocab_any,,-0.007147,-0.078930,0.001015,0.001008
activation patching / logit_diff,4.11,scheme-dependent,xx_mismatch random_vocab_any,yy01 random_vocab_yy,,0.001914,0.044480,-0.001875,0.061294
activation patching / logit_diff,5.0,scheme-dependent,random_vocab_yy,yy01 xx_mismatch random_vocab_any,,-0.001107,-0.002193,-0.036457,0.001525
activation patching / logit_diff,5.1,scheme-dependent,yy01,xx_mismatch random_vocab_yy random_vocab_any,year head -> MLP 8,0.055836,0.005057,-0.014429,0.009288
activation patching / logit_diff,5.5,scheme-dependent,yy01 xx_mismatch,random_vocab_yy random_vocab_any,year head -> MLP 8,0.052048,0.153685,-0.015178,0.007443
activation patching / logit_diff,5.6,scheme-dependent,random_vocab_any,yy01 xx_mismatch random_vocab_yy,,0.002372,0.006232,-0.001526,0.022981
activation patching / logit_diff,6.8,scheme-dependent,random_vocab_any,yy01 xx_mismatch random_vocab_yy,,-0.001228,-0.005764,-0.002255,0.033720
activation patching / logit_diff,6.9,scheme-dependent,yy01 xx_mismatch random_vocab_yy,random_vocab_any,year head -> MLP 8,0.075923,0.038140,-0.037819,-0.006484
activation patching / logit_diff,6.11,scheme-dependent,random_vocab_any,yy01 xx_mismatch random_vocab_yy,,0.002400,-0.002277,-0.000926,0.032510
