head,status,published_class,top_spec_yy01,top_spec_xx_mismatch,top_spec_random_vocab_yy,top_spec_random_vocab_any
0.0,scheme-dependent,,q@YY,v@XX1,q@YY,v@YY+1
0.1,scheme-dependent,,q@YY,k@XX1,q@YY,q@YY+1
0.2,scheme-dependent,,k@YY,k@XX1,k@YY,v@YY+1
0.3,scheme-dependent,,v@YY,k@XX1,q@YY,q@YY+1
0.4,scheme-dependent,,v@YY,v@XX1,v@YY,k@YY+1
0.5,scheme-dependent,,k@YY,k@XX1,q@YY,k@END
0.6,scheme-dependent,,q@YY,q@XX1,v@YY,v@YY+1
0.7,scheme-dependent,,q@YY,k@XX1,q@YY,v@YY+1
0.8,scheme-dependent,,v@YY,v@XX1,k@YY,q@YY+1
0.9,scheme-dependent,,v@YY,k@XX1,v@YY,v@YY+1
0.10,scheme-dependent,,q@YY,k@XX1,k@YY,k@XX1
0.11,scheme-dependent,,q@YY,v@XX1,v@YY,q@YY+1
1.0,scheme-dependent,,v@YY,v@XX1,q@YY,k@XX1
1.1,scheme-dependent,,v@YY,v@END,q@YY,v@YY+1
1.2,scheme-dependent,,v@YY,v@XX1,q@YY,k@YY+1
1.3,scheme-dependent,,q@END,q@XX1,q@YY,q@YY+1
1.4,scheme-dependent,,v@YY,v@END,v@YY,v@XX1
1.5,scheme-dependent,,v@YY,k@XX1,v@YY,q@YY+1
1.6,scheme-dependent,,v@YY,v@YY,q@YY,v@YY+1
1.7,scheme-dependent,,q@YY,q@END,v@YY,v@YY+1
1.8,scheme-dependent,,k@YY,q@END,q@YY,k@YY+1
1.9,scheme-dependent,,v@YY,q@XX1,q@YY,q@END
1.10,scheme-dependent,,v@YY,v@YY,v@YY,v@XX1
1.11,scheme-dependent,,q@YY,k@XX1,v@YY,v@YY
2.0,scheme-dependent,,k@YY,v@END,v@YY,v@YY+1
2.1,scheme-dependent,,v@YY,q@XX1,v@YY,k@YY
2.2,scheme-dependent,,q@YY,v@XX1,v@YY,v@YY+1
2.3,scheme-dependent,,q@YY,v@END,v@YY,v@YY+1
2.4,scheme-dependent,,q@YY,k@XX1,q@END,k@YY+1
2.5,scheme-dependent,,q@YY,q@XX1,v@YY,v@YY+1
2.6,scheme-dependent,,q@YY,k@END,v@YY,q@END
2.7,scheme-dependent,,v@YY,v@END,v@YY,v@YY+1
2.8,scheme-dependent,,q@YY,q@XX1,k@YY,k@YY+1
2.9,scheme-dependent,,k@YY,v@END,v@YY,k@YY+1
2.10,scheme-dependent,,v@YY,q@XX1,q@YY,v@YY
2.11,scheme-dependent,,q@END,q@END,q@END,q@YY
3.0,scheme-dependent,,k@YY,k@XX1,v@YY,k@YY
3.1,scheme-dependent,,v@YY+1,q@END,q@YY,v@YY+1
3.2,scheme-dependent,,k@YY+1,q@END,k@YY,v@YY+1
3.3,scheme-dependent,,k@YY,v@XX1,q@YY,q@YY+1
3.4,scheme-dependent,,k@YY,q@END,k@YY,q@END
3.5,scheme-dependent,,k@YY,v@END,v@YY,v@YY+1
3.6,scheme-dependent,,v@YY,v@END,v@YY,k@END
3.7,scheme-dependent,,v@YY,q@END,v@YY,v@YY
3.8,scheme-dependent,,q@YY,q@END,k@YY,v@YY+1
3.9,scheme-dependent,,q@YY,q@YY,v@YY,v@YY+1
3.10,scheme-dependent,,v@YY,k@YY,q@YY,v@YY+1
3.11,scheme-dependent,,q@YY,q@END,v@YY,v@NOUN
4.0,scheme-dependent,,q@YY,v@XX1,v@YY+1,v@YY+1
4.1,scheme-dependent,,q@YY,q@END,q@YY,v@YY+1
4.2,scheme-dependent,,q@YY,q@END,q@YY,v@YY+1
4.3,scheme-dependent,,q@END,q@END,v@YY,v@YY+1
4.4,scheme-dependent,,v@YY,k@XX1,v@YY,k@END
4.5,scheme-dependent,,q@YY,q@END,q@YY,q@END
4.6,scheme-dependent,,v@YY,v@YY,v@YY,v@YY+1
4.7,scheme-dependent,,v@YY,v@YY,v@YY,v@END
4.8,scheme-dependent,,q@YY,v@END,v@YY+1,v@YY+1
4.9,scheme-dependent,,q@YY,q@END,v@YY,q@YY+1
4.10,scheme-dependent,,v@YY,k@XX1,v@YY,k@END
4.11,scheme-dependent,,v@YY,v@XX1,k@YY,v@XX1
5.0,scheme-dependent,,v@YY,v@YY,v@YY,q@END
5.1,scheme-dependent,year head -> MLP 8,v@YY,k@YY,v@YY,k@YY
5.2,scheme-dependent,,q@YY+1,q@END,q@YY+1,q@END
5.3,scheme-dependent,,q@YY,q@END,v@YY,v@YY+1
5.4,scheme-dependent,,q@YY,q@END,v@YY+1,v@YY+1
5.5,scheme-dependent,year head -> MLP 8,v@YY,k@YY,v@YY,k@YY
5.6,scheme-dependent,,v@YY,v@XX1,v@YY,q@END
5.7,scheme-dependent,,q@END,q@YY,q@END,v@YY+1
5.8,scheme-dependent,,v@YY,k@YY,v@YY,v@YY+1
5.9,scheme-dependent,,k@YY,q@END,v@YY,q@END
5.10,scheme-dependent,,v@YY,q@YY,v@YY,k@XX1
5.11,scheme-dependent,,v@YY,v@END,v@YY+1,v@END
6.0,scheme-dependent,,q@YY,q@END,q@END,q@YY
6.1,scheme-dependent,,v@YY,q@END,v@YY,q@END
6.2,scheme-dependent,,v@YY+1,q@END,q@END,q@END
6.3,scheme-dependent,,q@YY,q@END,v@YY,q@END
6.4,scheme-dependent,,v@YY,k@YY,v@YY,k@YY
6.5,scheme-dependent,,v@END,q@END,v@YY,v@END
6.6,scheme-dependent,,v@END,q@END,q@END,v@END
6.7,scheme-dependent,,v@YY+1,k@END,q@END,v@YY
6.8,scheme-dependent,,q@YY,q@END,q@END,q@END
6.9,scheme-dependent,year head -> MLP 8,v@YY,k@YY,v@YY,k@YY
6.10,scheme-dependent,,v@YY,q@END,v@YY,q@END
6.11,scheme-dependent,,q@YY,q@END,v@YY+1,v@YY+1
7.0,scheme-dependent,,q@END,k@END,q@END,q@END
7.1,scheme-dependent,,k@YY,q@END,v@YY,q@END
7.2,scheme-dependent,,k@YY,k@YY,v@YY,q@END
7.3,scheme-dependent,,k@YY,v@END,v@YY,v@YY+1
7.4,scheme-dependent,,q@YY,q@END,q@END,v@END
