layer,head,input,position,screen_score,published_class
0,0,q,t0,0.000000,
0,0,q,t1,0.000000,
0,0,q,t2,0.000000,
0,0,q,t3,0.000000,
0,0,q,t4,0.000000,
0,0,q,t5,0.000000,
0,0,q,t6,0.000000,
0,0,q,t7,0.000000,
0,0,q,t8,0.000000,
0,0,q,t9,0.000000,
0,0,q,t10,0.000000,
0,0,q,t11,-0.000121,
0,0,q,t12,0.000000,
0,0,q,t13,0.000000,
0,0,q,t14,0.000000,
0,0,q,t15,0.000000,
0,0,k,t0,0.000000,
0,0,k,t1,0.000000,
0,0,k,t2,0.000000,
0,0,k,t3,0.000000,
0,0,k,t4,0.000000,
0,0,k,t5,0.000000,
0,0,k,t6,0.000000,
0,0,k,t7,0.000000,
0,0,k,t8,0.000000,
0,0,k,t9,0.000000,
0,0,k,t10,0.000000,
0,0,k,t11,-0.000099,
0,0,k,t12,0.000000,
0,0,k,t13,0.000000,
0,0,k,t14,0.000000,
0,0,k,t15,0.000000,
0,0,v,t0,0.000000,
0,0,v,t1,0.000000,
0,0,v,t2,0.000000,
0,0,v,t3,0.000000,
0,0,v,t4,0.000000,
0,0,v,t5,0.000000,
0,0,v,t6,0.000000,
0,0,v,t7,0.000000,
0,0,v,t8,0.000000,
0,0,v,t9,0.000000,
0,0,v,t10,0.000000,
0,0,v,t11,-0.000236,
0,0,v,t12,0.000000,
0,0,v,t13,0.000000,
0,0,v,t14,0.000000,
0,0,v,t15,0.000000,
0,1,q,t0,0.000000,duplicate token
0,1,q,t1,0.000000,duplicate token
0,1,q,t2,0.000000,duplicate token
0,1,q,t3,0.000000,duplicate token
0,1,q,t4,0.000000,duplicate token
0,1,q,t5,0.000000,duplicate token
0,1,q,t6,0.000000,duplicate token
0,1,q,t7,0.000000,duplicate token
0,1,q,t8,0.000000,duplicate token
0,1,q,t9,0.000000,duplicate token
0,1,q,t10,0.000000,duplicate token
0,1,q,t11,-0.019308,duplicate token
0,1,q,t12,0.000000,duplicate token
0,1,q,t13,0.000000,duplicate token
0,1,q,t14,0.000000,duplicate token
0,1,q,t15,0.000000,duplicate token
0,1,k,t0,0.000000,duplicate token
0,1,k,t1,0.000000,duplicate token
0,1,k,t2,0.000000,duplicate token
0,1,k,t3,0.000000,duplicate token
0,1,k,t4,0.000000,duplicate token
0,1,k,t5,0.000000,duplicate token
0,1,k,t6,0.000000,duplicate token
0,1,k,t7,0.000000,duplicate token
0,1,k,t8,0.000000,duplicate token
0,1,k,t9,0.000000,duplicate token
0,1,k,t10,0.000000,duplicate token
0,1,k,t11,-0.006949,duplicate token
0,1,k,t12,0.000000,duplicate token
0,1,k,t13,0.000000,duplicate token
0,1,k,t14,0.000000,duplicate token
0,1,k,t15,0.000000,duplicate token
0,1,v,t0,0.000000,duplicate token
0,1,v,t1,0.000000,duplicate token
0,1,v,t2,0.000000,duplicate token
0,1,v,t3,0.000000,duplicate token
0,1,v,t4,0.000000,duplicate token
0,1,v,t5,0.000000,duplicate token
0,1,v,t6,0.000000,duplicate token
0,1,v,t7,0.000000,duplicate token
0,1,v,t8,0.000000,duplicate token
0,1,v,t9,0.000000,duplicate token
0,1,v,t10,0.000000,duplicate token
0,1,v,t11,-0.003896,duplicate token
0,1,v,t12,0.000000,duplicate token
0,1,v,t13,0.000000,duplicate token
0,1,v,t14,0.000000,duplicate token
0,1,v,t15,0.000000,duplicate token
0,2,q,t0,0.000000,
0,2,q,t1,0.000000,
0,2,q,t2,0.000000,
0,2,q,t3,0.000000,
0,2,q,t4,0.000000,
0,2,q,t5,0.000000,
0,2,q,t6,0.000000,
0,2,q,t7,0.000000,
0,2,q,t8,0.000000,
0,2,q,t9,0.000000,
0,2,q,t10,0.000000,
0,2,q,t11,-0.000425,
0,2,q,t12,0.000000,
0,2,q,t13,0.000000,
0,2,q,t14,0.000000,
0,2,q,t15,0.000000,
0,2,k,t0,0.000000,
0,2,k,t1,0.000000,
0,2,k,t2,0.000000,
0,2,k,t3,0.000000,
0,2,k,t4,0.000000,
0,2,k,t5,0.000000,
0,2,k,t6,0.000000,
0,2,k,t7,0.000000,
0,2,k,t8,0.000000,
0,2,k,t9,0.000000,
0,2,k,t10,0.000000,
0,2,k,t11,-0.000296,
0,2,k,t12,0.000000,
0,2,k,t13,0.000000,
0,2,k,t14,0.000000,
0,2,k,t15,0.000000,
0,2,v,t0,0.000000,
0,2,v,t1,0.000000,
0,2,v,t2,0.000000,
0,2,v,t3,0.000000,
0,2,v,t4,0.000000,
0,2,v,t5,0.000000,
0,2,v,t6,0.000000,
0,2,v,t7,0.000000,
0,2,v,t8,0.000000,
0,2,v,t9,0.000000,
0,2,v,t10,0.000000,
0,2,v,t11,-0.000480,
0,2,v,t12,0.000000,
0,2,v,t13,0.000000,
0,2,v,t14,0.000000,
0,2,v,t15,0.000000,
0,3,q,t0,0.000000,
0,3,q,t1,0.000000,
0,3,q,t2,0.000000,
0,3,q,t3,0.000000,
0,3,q,t4,0.000000,
0,3,q,t5,0.000000,
0,3,q,t6,0.000000,
0,3,q,t7,0.000000,
0,3,q,t8,0.000000,
0,3,q,t9,0.000000,
0,3,q,t10,0.000000,
0,3,q,t11,0.002953,
0,3,q,t12,0.000000,
0,3,q,t13,0.000000,
0,3,q,t14,0.000000,
0,3,q,t15,0.000000,
0,3,k,t0,0.000000,
0,3,k,t1,0.000000,
0,3,k,t2,0.000000,
0,3,k,t3,0.000000,
0,3,k,t4,0.000000,
0,3,k,t5,0.000000,
0,3,k,t6,0.000000,
0,3,k,t7,0.000000,
0,3,k,t8,0.000000,
0,3,k,t9,0.000000,
0,3,k,t10,0.000000,
0,3,k,t11,0.009890,
0,3,k,t12,0.000000,
0,3,k,t13,0.000000,
0,3,k,t14,0.000000,
0,3,k,t15,0.000000,
0,3,v,t0,0.000000,
0,3,v,t1,0.000000,
0,3,v,t2,0.000000,
0,3,v,t3,0.000000,
0,3,v,t4,0.000000,
0,3,v,t5,0.000000,
0,3,v,t6,0.000000,
0,3,v,t7,0.000000,
0,3,v,t8,0.000000,
0,3,v,t9,0.000000,
0,3,v,t10,0.000000,
0,3,v,t11,-0.006207,
0,3,v,t12,0.000000,
0,3,v,t13,0.000000,
0,3,v,t14,0.000000,
0,3,v,t15,0.000000,
0,4,q,t0,0.000000,
0,4,q,t1,0.000000,
0,4,q,t2,0.000000,
0,4,q,t3,0.000000,
0,4,q,t4,0.000000,
0,4,q,t5,0.000000,
0,4,q,t6,0.000000,
0,4,q,t7,0.000000,
0,4,q,t8,0.000000,
0,4,q,t9,0.000000,
0,4,q,t10,0.000000,
0,4,q,t11,-0.006803,
0,4,q,t12,0.000000,
0,4,q,t13,0.000000,
0,4,q,t14,0.000000,
0,4,q,t15,0.000000,
0,4,k,t0,0.000000,
0,4,k,t1,0.000000,
0,4,k,t2,0.000000,
0,4,k,t3,0.000000,
0,4,k,t4,0.000000,
0,4,k,t5,0.000000,
0,4,k,t6,0.000000,
0,4,k,t7,0.000000,
0,4,k,t8,0.000000,
0,4,k,t9,0.000000,
0,4,k,t10,0.000000,
0,4,k,t11,-0.002170,
0,4,k,t12,0.000000,
0,4,k,t13,0.000000,
0,4,k,t14,0.000000,
0,4,k,t15,0.000000,
0,4,v,t0,0.000000,
0,4,v,t1,0.000000,
0,4,v,t2,0.000000,
0,4,v,t3,0.000000,
0,4,v,t4,0.000000,
0,4,v,t5,0.000000,
0,4,v,t6,0.000000,
0,4,v,t7,0.000000,
0,4,v,t8,0.000000,
0,4,v,t9,0.000000,
0,4,v,t10,0.000000,
0,4,v,t11,-0.007810,
0,4,v,t12,0.000000,
0,4,v,t13,0.000000,
0,4,v,t14,0.000000,
0,4,v,t15,0.000000,
0,5,q,t0,0.000000,
0,5,q,t1,0.000000,
0,5,q,t2,0.000000,
0,5,q,t3,0.000000,
0,5,q,t4,0.000000,
0,5,q,t5,0.000000,
0,5,q,t6,0.000000,
0,5,q,t7,0.000000,
0,5,q,t8,0.000000,
0,5,q,t9,0.000000,
0,5,q,t10,0.000000,
0,5,q,t11,-0.008368,
0,5,q,t12,0.000000,
0,5,q,t13,0.000000,
0,5,q,t14,0.000000,
0,5,q,t15,0.000000,
0,5,k,t0,0.000000,
0,5,k,t1,0.000000,
0,5,k,t2,0.000000,
0,5,k,t3,0.000000,
0,5,k,t4,0.000000,
0,5,k,t5,0.000000,
0,5,k,t6,0.000000,
0,5,k,t7,0.000000,
0,5,k,t8,0.000000,
0,5,k,t9,0.000000,
0,5,k,t10,0.000000,
0,5,k,t11,0.000505,
0,5,k,t12,0.000000,
0,5,k,t13,0.000000,
0,5,k,t14,0.000000,
0,5,k,t15,0.000000,
0,5,v,t0,0.000000,
0,5,v,t1,0.000000,
0,5,v,t2,0.000000,
0,5,v,t3,0.000000,
0,5,v,t4,0.000000,
0,5,v,t5,0.000000,
0,5,v,t6,0.000000,
0,5,v,t7,0.000000,
0,5,v,t8,0.000000,
0,5,v,t9,0.000000,
0,5,v,t10,0.000000,
0,5,v,t11,-0.003571,
0,5,v,t12,0.000000,
0,5,v,t13,0.000000,
0,5,v,t14,0.000000,
0,5,v,t15,0.000000,
0,6,q,t0,0.000000,
0,6,q,t1,0.000000,
0,6,q,t2,0.000000,
0,6,q,t3,0.000000,
0,6,q,t4,0.000000,
0,6,q,t5,0.000000,
0,6,q,t6,0.000000,
0,6,q,t7,0.000000,
0,6,q,t8,0.000000,
0,6,q,t9,0.000000,
0,6,q,t10,0.000000,
0,6,q,t11,0.000931,
0,6,q,t12,0.000000,
0,6,q,t13,0.000000,
0,6,q,t14,0.000000,
0,6,q,t15,0.000000,
0,6,k,t0,0.000000,
0,6,k,t1,0.000000,
0,6,k,t2,0.000000,
0,6,k,t3,0.000000,
0,6,k,t4,0.000000,
0,6,k,t5,0.000000,
0,6,k,t6,0.000000,
0,6,k,t7,0.000000,
0,6,k,t8,0.000000,
0,6,k,t9,0.000000,
0,6,k,t10,0.000000,
0,6,k,t11,0.000433,
0,6,k,t12,0.000000,
0,6,k,t13,0.000000,
0,6,k,t14,0.000000,
0,6,k,t15,0.000000,
0,6,v,t0,0.000000,
0,6,v,t1,0.000000,
0,6,v,t2,0.000000,
0,6,v,t3,0.000000,
0,6,v,t4,0.000000,
0,6,v,t5,0.000000,
0,6,v,t6,0.000000,
0,6,v,t7,0.000000,
0,6,v,t8,0.000000,
0,6,v,t9,0.000000,
0,6,v,t10,0.000000,
0,6,v,t11,-0.003768,
0,6,v,t12,0.000000,
0,6,v,t13,0.000000,
0,6,v,t14,0.000000,
0,6,v,t15,0.000000,
0,7,q,t0,0.000000,
0,7,q,t1,0.000000,
0,7,q,t2,0.000000,
0,7,q,t3,0.000000,
0,7,q,t4,0.000000,
0,7,q,t5,0.000000,
0,7,q,t6,0.000000,
0,7,q,t7,0.000000,
0,7,q,t8,0.000000,
0,7,q,t9,0.000000,
0,7,q,t10,0.000000,
0,7,q,t11,0.001022,
0,7,q,t12,0.000000,
0,7,q,t13,0.000000,
0,7,q,t14,0.000000,
0,7,q,t15,0.000000,
0,7,k,t0,0.000000,
0,7,k,t1,0.000000,
0,7,k,t2,0.000000,
0,7,k,t3,0.000000,
0,7,k,t4,0.000000,
0,7,k,t5,0.000000,
0,7,k,t6,0.000000,
0,7,k,t7,0.000000,
0,7,k,t8,0.000000,
0,7,k,t9,0.000000,
0,7,k,t10,0.000000,
0,7,k,t11,0.001954,
0,7,k,t12,0.000000,
0,7,k,t13,0.000000,
0,7,k,t14,0.000000,
0,7,k,t15,0.000000,
0,7,v,t0,0.000000,
0,7,v,t1,0.000000,
0,7,v,t2,0.000000,
0,7,v,t3,0.000000,
0,7,v,t4,0.000000,
0,7,v,t5,0.000000,
0,7,v,t6,0.000000,
0,7,v,t7,0.000000,
0,7,v,t8,0.000000,
0,7,v,t9,0.000000,
0,7,v,t10,0.000000,
0,7,v,t11,-0.000647,
0,7,v,t12,0.000000,
0,7,v,t13,0.000000,
0,7,v,t14,0.000000,
0,7,v,t15,0.000000,
0,8,q,t0,0.000000,
0,8,q,t1,0.000000,
0,8,q,t2,0.000000,
0,8,q,t3,0.000000,
0,8,q,t4,0.000000,
0,8,q,t5,0.000000,
0,8,q,t6,0.000000,
0,8,q,t7,0.000000,
0,8,q,t8,0.000000,
0,8,q,t9,0.000000,
0,8,q,t10,0.000000,
0,8,q,t11,0.000063,
0,8,q,t12,0.000000,
0,8,q,t13,0.000000,
0,8,q,t14,0.000000,
0,8,q,t15,0.000000,
0,8,k,t0,0.000000,
0,8,k,t1,0.000000,
0,8,k,t2,0.000000,
0,8,k,t3,0.000000,
0,8,k,t4,0.000000,
0,8,k,t5,0.000000,
0,8,k,t6,0.000000,
0,8,k,t7,0.000000,
0,8,k,t8,0.000000,
0,8,k,t9,0.000000,
0,8,k,t10,0.000000,
0,8,k,t11,-0.000109,
0,8,k,t12,0.000000,
0,8,k,t13,0.000000,
0,8,k,t14,0.000000,
0,8,k,t15,0.000000,
0,8,v,t0,0.000000,
0,8,v,t1,0.000000,
0,8,v,t2,0.000000,
0,8,v,t3,0.000000,
0,8,v,t4,0.000000,
0,8,v,t5,0.000000,
0,8,v,t6,0.000000,
0,8,v,t7,0.000000,
0,8,v,t8,0.000000,
0,8,v,t9,0.000000,
0,8,v,t10,0.000000,
0,8,v,t11,-0.000169,
0,8,v,t12,0.000000,
0,8,v,t13,0.000000,
0,8,v,t14,0.000000,
0,8,v,t15,0.000000,
0,9,q,t0,0.000000,
0,9,q,t1,0.000000,
0,9,q,t2,0.000000,
0,9,q,t3,0.000000,
0,9,q,t4,0.000000,
0,9,q,t5,0.000000,
0,9,q,t6,0.000000,
0,9,q,t7,0.000000,
0,9,q,t8,0.000000,
0,9,q,t9,0.000000,
0,9,q,t10,0.000000,
0,9,q,t11,0.008900,
0,9,q,t12,0.000000,
0,9,q,t13,0.000000,
0,9,q,t14,0.000000,
0,9,q,t15,0.000000,
0,9,k,t0,0.000000,
0,9,k,t1,0.000000,
0,9,k,t2,0.000000,
0,9,k,t3,0.000000,
0,9,k,t4,0.000000,
0,9,k,t5,0.000000,
0,9,k,t6,0.000000,
0,9,k,t7,0.000000,
0,9,k,t8,0.000000,
0,9,k,t9,0.000000,
0,9,k,t10,0.000000,
0,9,k,t11,0.009177,
0,9,k,t12,0.000000,
0,9,k,t13,0.000000,
0,9,k,t14,0.000000,
0,9,k,t15,0.000000,
0,9,v,t0,0.000000,
0,9,v,t1,0.000000,
0,9,v,t2,0.000000,
0,9,v,t3,0.000000,
0,9,v,t4,0.000000,
0,9,v,t5,0.000000,
0,9,v,t6,0.000000,
0,9,v,t7,0.000000,
0,9,v,t8,0.000000,
0,9,v,t9,0.000000,
0,9,v,t10,0.000000,
0,9,v,t11,-0.000041,
0,9,v,t12,0.000000,
0,9,v,t13,0.000000,
0,9,v,t14,0.000000,
0,9,v,t15,0.000000,
0,10,q,t0,0.000000,duplicate token
0,10,q,t1,0.000000,duplicate token
0,10,q,t2,0.000000,duplicate token
0,10,q,t3,0.000000,duplicate token
