layer,head,input,position,screen_score,published_class
0,0,q,IO,0.000000,
0,0,q,IO+1,0.000000,
0,0,q,S1,0.000000,
0,0,q,S1+1,0.000000,
0,0,q,S2,-0.000291,
0,0,q,S2+1,0.000000,
0,0,q,END,0.000000,
0,0,k,IO,0.000000,
0,0,k,IO+1,0.000000,
0,0,k,S1,0.000000,
0,0,k,S1+1,0.000000,
0,0,k,S2,-0.000160,
0,0,k,S2+1,0.000000,
0,0,k,END,0.000000,
0,0,v,IO,0.000000,
0,0,v,IO+1,0.000000,
0,0,v,S1,0.000000,
0,0,v,S1+1,0.000000,
0,0,v,S2,0.000136,
0,0,v,S2+1,0.000000,
0,0,v,END,0.000000,
0,1,q,IO,0.000000,duplicate token
0,1,q,IO+1,0.000000,duplicate token
0,1,q,S1,0.000000,duplicate token
0,1,q,S1+1,0.000000,duplicate token
0,1,q,S2,0.010010,duplicate token
0,1,q,S2+1,0.000000,duplicate token
0,1,q,END,0.000000,duplicate token
0,1,k,IO,0.000000,duplicate token
0,1,k,IO+1,0.000000,duplicate token
0,1,k,S1,0.000000,duplicate token
0,1,k,S1+1,0.000000,duplicate token
0,1,k,S2,-0.002415,duplicate token
0,1,k,S2+1,0.000000,duplicate token
0,1,k,END,0.000000,duplicate token
0,1,v,IO,0.000000,duplicate token
0,1,v,IO+1,0.000000,duplicate token
0,1,v,S1,0.000000,duplicate token
0,1,v,S1+1,0.000000,duplicate token
0,1,v,S2,0.004562,duplicate token
0,1,v,S2+1,0.000000,duplicate token
0,1,v,END,0.000000,duplicate token
0,2,q,IO,0.000000,
0,2,q,IO+1,0.000000,
0,2,q,S1,0.000000,
0,2,q,S1+1,0.000000,
0,2,q,S2,-0.000415,
0,2,q,S2+1,0.000000,
0,2,q,END,0.000000,
0,2,k,IO,0.000000,
0,2,k,IO+1,0.000000,
0,2,k,S1,0.000000,
0,2,k,S1+1,0.000000,
0,2,k,S2,-0.000281,
0,2,k,S2+1,0.000000,
0,2,k,END,0.000000,
0,2,v,IO,0.000000,
0,2,v,IO+1,0.000000,
0,2,v,S1,0.000000,
0,2,v,S1+1,0.000000,
0,2,v,S2,-0.000478,
0,2,v,S2+1,0.000000,
0,2,v,END,0.000000,
0,3,q,IO,0.000000,
0,3,q,IO+1,0.000000,
0,3,q,S1,0.000000,
0,3,q,S1+1,0.000000,
0,3,q,S2,0.005742,
0,3,q,S2+1,0.000000,
0,3,q,END,0.000000,
0,3,k,IO,0.000000,
0,3,k,IO+1,0.000000,
0,3,k,S1,0.000000,
0,3,k,S1+1,0.000000,
0,3,k,S2,0.005972,
0,3,k,S2+1,0.000000,
0,3,k,END,0.000000,
0,3,v,IO,0.000000,
0,3,v,IO+1,0.000000,
0,3,v,S1,0.000000,
0,3,v,S1+1,0.000000,
0,3,v,S2,0.003708,
0,3,v,S2+1,0.000000,
0,3,v,END,0.000000,
0,4,q,IO,0.000000,
0,4,q,IO+1,0.000000,
0,4,q,S1,0.000000,
0,4,q,S1+1,0.000000,
0,4,q,S2,-0.001350,
0,4,q,S2+1,0.000000,
0,4,q,END,0.000000,
0,4,k,IO,0.000000,
0,4,k,IO+1,0.000000,
0,4,k,S1,0.000000,
0,4,k,S1+1,0.000000,
0,4,k,S2,-0.001387,
0,4,k,S2+1,0.000000,
0,4,k,END,0.000000,
0,4,v,IO,0.000000,
0,4,v,IO+1,0.000000,
0,4,v,S1,0.000000,
0,4,v,S1+1,0.000000,
0,4,v,S2,0.000212,
0,4,v,S2+1,0.000000,
0,4,v,END,0.000000,
0,5,q,IO,0.000000,
0,5,q,IO+1,0.000000,
0,5,q,S1,0.000000,
0,5,q,S1+1,0.000000,
0,5,q,S2,0.000441,
0,5,q,S2+1,0.000000,
0,5,q,END,0.000000,
0,5,k,IO,0.000000,
0,5,k,IO+1,0.000000,
0,5,k,S1,0.000000,
0,5,k,S1+1,0.000000,
0,5,k,S2,-0.000204,
0,5,k,S2+1,0.000000,
0,5,k,END,0.000000,
0,5,v,IO,0.000000,
0,5,v,IO+1,0.000000,
0,5,v,S1,0.000000,
0,5,v,S1+1,0.000000,
0,5,v,S2,-0.000251,
0,5,v,S2+1,0.000000,
0,5,v,END,0.000000,
0,6,q,IO,0.000000,
0,6,q,IO+1,0.000000,
0,6,q,S1,0.000000,
0,6,q,S1+1,0.000000,
0,6,q,S2,0.000927,
0,6,q,S2+1,0.000000,
0,6,q,END,0.000000,
0,6,k,IO,0.000000,
0,6,k,IO+1,0.000000,
0,6,k,S1,0.000000,
0,6,k,S1+1,0.000000,
0,6,k,S2,0.000210,
0,6,k,S2+1,0.000000,
0,6,k,END,0.000000,
0,6,v,IO,0.000000,
0,6,v,IO+1,0.000000,
0,6,v,S1,0.000000,
0,6,v,S1+1,0.000000,
0,6,v,S2,-0.003259,
0,6,v,S2+1,0.000000,
0,6,v,END,0.000000,
0,7,q,IO,0.000000,
0,7,q,IO+1,0.000000,
0,7,q,S1,0.000000,
0,7,q,S1+1,0.000000,
0,7,q,S2,0.000126,
0,7,q,S2+1,0.000000,
0,7,q,END,0.000000,
0,7,k,IO,0.000000,
0,7,k,IO+1,0.000000,
0,7,k,S1,0.000000,
0,7,k,S1+1,0.000000,
0,7,k,S2,0.001421,
0,7,k,S2+1,0.000000,
0,7,k,END,0.000000,
0,7,v,IO,0.000000,
0,7,v,IO+1,0.000000,
0,7,v,S1,0.000000,
0,7,v,S1+1,0.000000,
0,7,v,S2,0.000183,
0,7,v,S2+1,0.000000,
0,7,v,END,0.000000,
0,8,q,IO,0.000000,
0,8,q,IO+1,0.000000,
0,8,q,S1,0.000000,
0,8,q,S1+1,0.000000,
0,8,q,S2,0.000008,
0,8,q,S2+1,0.000000,
0,8,q,END,0.000000,
0,8,k,IO,0.000000,
0,8,k,IO+1,0.000000,
0,8,k,S1,0.000000,
0,8,k,S1+1,0.000000,
0,8,k,S2,0.000186,
0,8,k,S2+1,0.000000,
0,8,k,END,0.000000,
0,8,v,IO,0.000000,
0,8,v,IO+1,0.000000,
0,8,v,S1,0.000000,
0,8,v,S1+1,0.000000,
0,8,v,S2,0.000039,
0,8,v,S2+1,0.000000,
0,8,v,END,0.000000,
0,9,q,IO,0.000000,
0,9,q,IO+1,0.000000,
0,9,q,S1,0.000000,
0,9,q,S1+1,0.000000,
0,9,q,S2,0.001543,
0,9,q,S2+1,0.000000,
0,9,q,END,0.000000,
0,9,k,IO,0.000000,
0,9,k,IO+1,0.000000,
0,9,k,S1,0.000000,
0,9,k,S1+1,0.000000,
0,9,k,S2,0.002224,
0,9,k,S2+1,0.000000,
0,9,k,END,0.000000,
0,9,v,IO,0.000000,
0,9,v,IO+1,0.000000,
0,9,v,S1,0.000000,
0,9,v,S1+1,0.000000,
0,9,v,S2,-0.000170,
0,9,v,S2+1,0.000000,
0,9,v,END,0.000000,
0,10,q,IO,0.000000,duplicate token
0,10,q,IO+1,0.000000,duplicate token
0,10,q,S1,0.000000,duplicate token
0,10,q,S1+1,0.000000,duplicate token
0,10,q,S2,0.021981,duplicate token
0,10,q,S2+1,0.000000,duplicate token
0,10,q,END,0.000000,duplicate token
0,10,k,IO,0.000000,duplicate token
0,10,k,IO+1,0.000000,duplicate token
0,10,k,S1,0.000000,duplicate token
0,10,k,S1+1,0.000000,duplicate token
0,10,k,S2,0.017880,duplicate token
0,10,k,S2+1,0.000000,duplicate token
0,10,k,END,0.000000,duplicate token
0,10,v,IO,0.000000,duplicate token
0,10,v,IO+1,0.000000,duplicate token
0,10,v,S1,0.000000,duplicate token
0,10,v,S1+1,0.000000,duplicate token
0,10,v,S2,-0.000908,duplicate token
0,10,v,S2+1,0.000000,duplicate token
0,10,v,END,0.000000,duplicate token
0,11,q,IO,0.000000,
0,11,q,IO+1,0.000000,
0,11,q,S1,0.000000,
0,11,q,S1+1,0.000000,
0,11,q,S2,-0.000264,
0,11,q,S2+1,0.000000,
0,11,q,END,0.000000,
0,11,k,IO,0.000000,
0,11,k,IO+1,0.000000,
0,11,k,S1,0.000000,
0,11,k,S1+1,0.000000,
0,11,k,S2,0.000009,
0,11,k,S2+1,0.000000,
0,11,k,END,0.000000,
0,11,v,IO,0.000000,
0,11,v,IO+1,0.000000,
0,11,v,S1,0.000000,
0,11,v,S1+1,0.000000,
0,11,v,S2,0.000200,
0,11,v,S2+1,0.000000,
0,11,v,END,0.000000,
1,0,q,IO,0.000000,
1,0,q,IO+1,0.000000,
1,0,q,S1,0.000000,
1,0,q,S1+1,0.000000,
1,0,q,S2,0.000109,
1,0,q,S2+1,-0.000027,
1,0,q,END,-0.000013,
1,0,k,IO,0.000000,
1,0,k,IO+1,0.000000,
1,0,k,S1,0.000000,
1,0,k,S1+1,0.000000,
1,0,k,S2,0.000360,
1,0,k,S2+1,0.000007,
1,0,k,END,0.000000,
1,0,v,IO,0.000000,
1,0,v,IO+1,0.000000,
1,0,v,S1,0.000000,
1,0,v,S1+1,0.000000,
1,0,v,S2,-0.000674,
1,0,v,S2+1,0.000006,
1,0,v,END,-0.000000,
1,1,q,IO,0.000000,
1,1,q,IO+1,0.000000,
1,1,q,S1,0.000000,
1,1,q,S1+1,0.000000,
1,1,q,S2,-0.000421,
1,1,q,S2+1,0.000034,
1,1,q,END,-0.000006,
1,1,k,IO,0.000000,
1,1,k,IO+1,0.000000,
1,1,k,S1,0.000000,
1,1,k,S1+1,0.000000,
1,1,k,S2,-0.000415,
1,1,k,S2+1,0.000023,
1,1,k,END,-0.000003,
1,1,v,IO,0.000000,
1,1,v,IO+1,0.000000,
1,1,v,S1,0.000000,
1,1,v,S1+1,0.000000,
1,1,v,S2,-0.000346,
1,1,v,S2+1,0.000022,
1,1,v,END,-0.000009,
1,2,q,IO,0.000000,
1,2,q,IO+1,0.000000,
1,2,q,S1,0.000000,
1,2,q,S1+1,0.000000,
1,2,q,S2,-0.000000,
1,2,q,S2+1,0.000004,
1,2,q,END,-0.000001,
1,2,k,IO,0.000000,
1,2,k,IO+1,0.000000,
1,2,k,S1,0.000000,
1,2,k,S1+1,0.000000,
1,2,k,S2,0.000024,
1,2,k,S2+1,0.000006,
1,2,k,END,0.000002,
1,2,v,IO,0.000000,
1,2,v,IO+1,0.000000,
1,2,v,S1,0.000000,
1,2,v,S1+1,0.000000,
1,2,v,S2,0.000285,
1,2,v,S2+1,0.000019,
1,2,v,END,0.000000,
1,3,q,IO,0.000000,
1,3,q,IO+1,0.000000,
1,3,q,S1,0.000000,
1,3,q,S1+1,0.000000,
1,3,q,S2,-0.000202,
1,3,q,S2+1,0.000061,
1,3,q,END,-0.000018,
1,3,k,IO,0.000000,
1,3,k,IO+1,0.000000,
1,3,k,S1,0.000000,
1,3,k,S1+1,0.000000,
1,3,k,S2,0.000068,
1,3,k,S2+1,0.000004,
1,3,k,END,0.000002,
1,3,v,IO,0.000000,
1,3,v,IO+1,0.000000,
1,3,v,S1,0.000000,
1,3,v,S1+1,0.000000,
1,3,v,S2,0.000175,
1,3,v,S2+1,-0.000002,
1,3,v,END,-0.000001,
1,4,q,IO,0.000000,
1,4,q,IO+1,0.000000,
1,4,q,S1,0.000000,
1,4,q,S1+1,0.000000,
1,4,q,S2,-0.000144,
1,4,q,S2+1,0.000004,
1,4,q,END,0.000003,
1,4,k,IO,0.000000,
1,4,k,IO+1,0.000000,
1,4,k,S1,0.000000,
1,4,k,S1+1,0.000000,
1,4,k,S2,0.000082,
1,4,k,S2+1,0.000000,
1,4,k,END,-0.000001,
1,4,v,IO,0.000000,
1,4,v,IO+1,0.000000,
1,4,v,S1,0.000000,
1,4,v,S1+1,0.000000,
1,4,v,S2,-0.000214,
1,4,v,S2+1,0.000013,
1,4,v,END,0.000008,
1,5,q,IO,0.000000,
1,5,q,IO+1,0.000000,
1,5,q,S1,0.000000,
1,5,q,S1+1,0.000000,
1,5,q,S2,0.007725,
1,5,q,S2+1,-0.000011,
