group,scheme,position,layer,head,path_signal,published_class
s2_swap round 1,s2_swap,END,0,0,0.000021,
s2_swap round 1,s2_swap,END,0,1,0.000000,duplicate token
s2_swap round 1,s2_swap,END,0,2,-0.000001,
s2_swap round 1,s2_swap,END,0,3,0.000001,
s2_swap round 1,s2_swap,END,0,4,-0.000004,
s2_swap round 1,s2_swap,END,0,5,0.000000,
s2_swap round 1,s2_swap,END,0,6,0.000006,
s2_swap round 1,s2_swap,END,0,7,-0.000017,
s2_swap round 1,s2_swap,END,0,8,-0.000001,
s2_swap round 1,s2_swap,END,0,9,-0.000020,
s2_swap round 1,s2_swap,END,0,10,0.000006,duplicate token
s2_swap round 1,s2_swap,END,0,11,0.000012,
s2_swap round 1,s2_swap,END,1,0,-0.000027,
s2_swap round 1,s2_swap,END,1,1,0.000009,
s2_swap round 1,s2_swap,END,1,2,0.000009,
s2_swap round 1,s2_swap,END,1,3,-0.000002,
s2_swap round 1,s2_swap,END,1,4,0.000027,
s2_swap round 1,s2_swap,END,1,5,-0.000005,
s2_swap round 1,s2_swap,END,1,6,-0.000022,
s2_swap round 1,s2_swap,END,1,7,0.000044,
s2_swap round 1,s2_swap,END,1,8,-0.000024,
s2_swap round 1,s2_swap,END,1,9,-0.000007,
s2_swap round 1,s2_swap,END,1,10,-0.000003,
s2_swap round 1,s2_swap,END,1,11,0.000010,
s2_swap round 1,s2_swap,END,2,0,-0.000013,
s2_swap round 1,s2_swap,END,2,1,0.000010,
s2_swap round 1,s2_swap,END,2,2,0.000002,previous token
s2_swap round 1,s2_swap,END,2,3,-0.000035,
s2_swap round 1,s2_swap,END,2,4,-0.000003,
s2_swap round 1,s2_swap,END,2,5,0.000015,
s2_swap round 1,s2_swap,END,2,6,0.000030,
s2_swap round 1,s2_swap,END,2,7,0.000128,
s2_swap round 1,s2_swap,END,2,8,0.000092,
s2_swap round 1,s2_swap,END,2,9,-0.000005,
s2_swap round 1,s2_swap,END,2,10,-0.000023,
s2_swap round 1,s2_swap,END,2,11,-0.000007,
s2_swap round 1,s2_swap,END,3,0,-0.000001,duplicate token
s2_swap round 1,s2_swap,END,3,1,-0.000004,
s2_swap round 1,s2_swap,END,3,2,-0.000031,
s2_swap round 1,s2_swap,END,3,3,0.000058,
s2_swap round 1,s2_swap,END,3,4,0.000007,
s2_swap round 1,s2_swap,END,3,5,0.000035,
s2_swap round 1,s2_swap,END,3,6,0.000064,
s2_swap round 1,s2_swap,END,3,7,0.000016,
s2_swap round 1,s2_swap,END,3,8,0.000007,
s2_swap round 1,s2_swap,END,3,9,0.000070,
s2_swap round 1,s2_swap,END,3,10,0.000090,
s2_swap round 1,s2_swap,END,3,11,0.000045,
s2_swap round 1,s2_swap,END,4,0,0.000063,
s2_swap round 1,s2_swap,END,4,1,0.000018,
s2_swap round 1,s2_swap,END,4,2,-0.000006,
s2_swap round 1,s2_swap,END,4,3,-0.000038,
s2_swap round 1,s2_swap,END,4,4,0.000013,
s2_swap round 1,s2_swap,END,4,5,-0.000038,
s2_swap round 1,s2_swap,END,4,6,0.000077,
s2_swap round 1,s2_swap,END,4,7,0.000010,
s2_swap round 1,s2_swap,END,4,8,0.000014,
s2_swap round 1,s2_swap,END,4,9,-0.000022,
s2_swap round 1,s2_swap,END,4,10,0.000003,
s2_swap round 1,s2_swap,END,4,11,0.000005,previous token
s2_swap round 1,s2_swap,END,5,0,-0.000038,
s2_swap round 1,s2_swap,END,5,1,-0.000003,
s2_swap round 1,s2_swap,END,5,2,-0.000019,
s2_swap round 1,s2_swap,END,5,3,0.000469,
s2_swap round 1,s2_swap,END,5,4,0.000405,
s2_swap round 1,s2_swap,END,5,5,-0.000088,induction
s2_swap round 1,s2_swap,END,5,6,0.000044,
s2_swap round 1,s2_swap,END,5,7,-0.000079,
s2_swap round 1,s2_swap,END,5,8,0.000224,induction
s2_swap round 1,s2_swap,END,5,9,0.000386,induction
s2_swap round 1,s2_swap,END,5,10,-0.000340,
s2_swap round 1,s2_swap,END,5,11,0.000087,
s2_swap round 1,s2_swap,END,6,0,0.002232,
s2_swap round 1,s2_swap,END,6,1,0.009972,
s2_swap round 1,s2_swap,END,6,2,0.000582,
s2_swap round 1,s2_swap,END,6,3,-0.000102,
s2_swap round 1,s2_swap,END,6,4,-0.000048,
s2_swap round 1,s2_swap,END,6,5,0.000712,
s2_swap round 1,s2_swap,END,6,6,0.001002,
s2_swap round 1,s2_swap,END,6,7,-0.000763,
s2_swap round 1,s2_swap,END,6,8,0.000183,
s2_swap round 1,s2_swap,END,6,9,-0.000230,induction
s2_swap round 1,s2_swap,END,6,10,-0.000187,
s2_swap round 1,s2_swap,END,6,11,-0.000199,
s2_swap round 1,s2_swap,END,7,0,-0.000006,
s2_swap round 1,s2_swap,END,7,1,-0.000565,
s2_swap round 1,s2_swap,END,7,2,-0.000056,
s2_swap round 1,s2_swap,END,7,3,0.088178,s-inhibition
s2_swap round 1,s2_swap,END,7,4,-0.000305,
s2_swap round 1,s2_swap,END,7,5,-0.005790,
s2_swap round 1,s2_swap,END,7,6,0.002474,
s2_swap round 1,s2_swap,END,7,7,-0.000780,
s2_swap round 1,s2_swap,END,7,8,-0.005247,
s2_swap round 1,s2_swap,END,7,9,0.133772,s-inhibition
s2_swap round 1,s2_swap,END,7,10,-0.000057,
s2_swap round 1,s2_swap,END,7,11,-0.000198,
s2_swap round 1,s2_swap,END,8,0,-0.001264,
s2_swap round 1,s2_swap,END,8,1,0.000111,
s2_swap round 1,s2_swap,END,8,2,-0.000564,
s2_swap round 1,s2_swap,END,8,3,0.005854,
s2_swap round 1,s2_swap,END,8,4,0.001347,
s2_swap round 1,s2_swap,END,8,5,-0.005778,
s2_swap round 1,s2_swap,END,8,6,0.243028,s-inhibition
s2_swap round 1,s2_swap,END,8,7,0.003119,
s2_swap round 1,s2_swap,END,8,8,-0.001115,
s2_swap round 1,s2_swap,END,8,9,-0.000123,
s2_swap round 1,s2_swap,END,8,10,0.180012,s-inhibition
s2_swap round 1,s2_swap,END,8,11,0.003174,
s2_swap round 2,s2_swap,S2,0,0,0.000333,
s2_swap round 2,s2_swap,S2,0,1,0.033531,duplicate token
s2_swap round 2,s2_swap,S2,0,2,0.000548,
s2_swap round 2,s2_swap,S2,0,3,0.011756,
s2_swap round 2,s2_swap,S2,0,4,0.009613,
s2_swap round 2,s2_swap,S2,0,5,0.009455,
s2_swap round 2,s2_swap,S2,0,6,0.002070,
s2_swap round 2,s2_swap,S2,0,7,0.001494,
s2_swap round 2,s2_swap,S2,0,8,-0.000026,
s2_swap round 2,s2_swap,S2,0,9,0.000286,
s2_swap round 2,s2_swap,S2,0,10,-0.003606,duplicate token
s2_swap round 2,s2_swap,S2,0,11,0.000055,
s2_swap round 2,s2_swap,S2,1,0,0.000145,
s2_swap round 2,s2_swap,S2,1,1,0.000049,
s2_swap round 2,s2_swap,S2,1,2,0.000047,
s2_swap round 2,s2_swap,S2,1,3,0.000015,
s2_swap round 2,s2_swap,S2,1,4,-0.000072,
s2_swap round 2,s2_swap,S2,1,5,0.004388,
s2_swap round 2,s2_swap,S2,1,6,0.000920,
s2_swap round 2,s2_swap,S2,1,7,-0.000027,
s2_swap round 2,s2_swap,S2,1,8,-0.000040,
s2_swap round 2,s2_swap,S2,1,9,-0.000011,
s2_swap round 2,s2_swap,S2,1,10,-0.000114,
